game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2016-10-06,2016,5,49ers,Cardinals,21,33,Levi's Stadium,75,16,34,outdoors,Arizona Cardinals,-3.5,42.5,1,25,17,36,151,2,37,172,2,18,31,162,1,2,11,28,124,2,0,7,27,1,8,135,116,286,288,2,1,2,0,3,0,4,34,7,50,4,14,5,16,1,1,0,0,1696,1904
2016-10-09,2016,5,Browns,Patriots,13,33,FirstEnergy Stadium,58,13,58,outdoors,New England Patriots,-10.0,47.5,0,17,24,22,27,0,35,98,1,20,35,249,2,1,28,41,406,3,0,2,14,1,3,235,403,262,501,2,0,0,0,1,0,5,35,5,61,5,13,9,17,0,1,0,1,1521,2079
2016-10-09,2016,5,Lions,Eagles,24,23,Ford Field,0,0,0,dome,Philadelphia Eagles,-3.5,46.0,1,21,18,27,80,0,21,116,0,19,25,180,3,0,25,33,238,2,1,4,16,3,8,164,230,244,346,1,1,2,1,1,2,2,18,14,111,3,9,5,11,2,2,0,0,1824,1776
2016-10-09,2016,5,Dolphins,Titans,17,30,Hard Rock Stadium,88,15,53,outdoors,Miami Dolphins,-2.5,44.5,1,8,23,17,51,1,41,235,1,12,18,191,0,2,20,29,163,3,0,6,42,0,0,149,163,200,398,0,0,1,0,2,0,8,83,5,40,4,11,5,12,0,0,0,1,1396,2204
2016-10-09,2016,5,Steelers,Jets,31,13,Heinz Field,57,9,60,outdoors,Pittsburgh Steelers,-10.0,50.0,0,30,16,24,61,0,17,72,0,34,47,380,4,0,25,38,255,1,0,1,5,3,11,375,244,436,316,2,1,1,0,1,0,1,10,4,18,5,10,2,11,0,1,0,1,1910,1690
2016-10-09,2016,5,Colts,Bears,29,23,Lucas Oil Stadium,0,0,0,retractable roof (open),Indianapolis Colts,-4.0,47.5,1,20,25,21,98,0,19,125,0,28,39,322,2,0,33,43,397,2,0,5,24,0,0,298,397,396,522,2,0,3,1,0,1,9,68,10,80,3,12,2,9,1,1,0,1,1795,1805
2016-10-09,2016,5,Ravens,Redskins,10,16,M&T Bank Stadium,62,16,53,outdoors,Baltimore Ravens,-4.0,44.5,0,18,18,19,118,0,20,60,0,30,47,210,1,0,29,41,260,1,1,3,22,1,10,188,250,306,310,1,1,2,1,1,2,9,65,4,46,3,15,3,12,1,3,1,2,1825,1775
2016-10-09,2016,5,Vikings,Texans,31,13,U.S. Bank Stadium,0,0,0,dome,Minnesota Vikings,-6.0,39.0,1,22,16,37,96,1,14,59,0,22,30,271,2,0,19,42,184,1,1,2,16,4,29,255,155,351,214,0,0,1,0,0,1,9,97,4,15,7,14,1,13,0,0,0,1,2248,1352
2016-10-09,2016,5,Broncos,Falcons,16,23,Empower Field at Mile High,72,5,18,outdoors,Denver Broncos,-3.5,44.5,0,18,19,24,84,0,32,122,1,23,35,223,1,1,15,28,267,1,0,6,40,2,17,183,250,267,372,3,0,1,1,1,1,8,57,7,78,4,16,2,12,4,4,2,3,1868,1732
2016-10-09,2016,5,Rams,Bills,19,30,Los Angeles Memorial Coliseum,91,5,18,outdoors,Buffalo Bills,-2.5,41.5,1,23,15,29,102,1,27,193,1,21,31,271,0,2,12,23,124,2,0,4,28,2,12,243,112,345,305,2,1,1,0,3,0,6,40,7,60,4,12,4,12,0,2,0,0,2134,1466
2016-10-09,2016,5,Cowboys,Bengals,28,14,AT&T Stadium,0,0,0,retractable roof (closed),Cincinnati Bengals,-2.5,46.0,0,21,27,29,180,3,19,96,0,18,24,227,1,0,29,41,269,2,0,1,5,4,20,222,249,402,345,3,1,0,0,1,0,7,45,6,49,4,8,5,12,0,0,1,1,1663,1937
2016-10-09,2016,5,Raiders,Chargers,34,31,Oakland-Alameda County Coliseum,75,7,39,outdoors,Oakland Raiders,-3.5,50.5,1,19,17,25,89,1,19,72,0,25,40,317,2,1,21,30,359,4,2,3,17,2,8,300,351,389,423,0,0,5,2,1,4,6,36,4,38,5,14,2,8,1,1,0,1,2178,1422
2016-10-09,2016,5,Packers,Giants,23,16,Lambeau Field,49,7,0,outdoors,Green Bay Packers,-7.0,49.0,0,23,14,32,147,0,15,43,0,23,45,259,2,2,18,35,199,1,0,0,0,4,21,259,178,406,221,1,0,1,1,2,1,6,57,6,51,9,19,4,13,0,0,0,0,2198,1402
2016-10-10,2016,5,Panthers,Buccaneers,14,17,Bank of America Stadium,66,7,35,outdoors,Carolina Panthers,-6.0,46.5,0,20,20,25,136,2,37,113,0,18,28,278,0,2,18,30,219,1,0,0,0,2,17,278,202,414,315,2,2,1,0,4,0,7,60,5,40,1,8,6,15,1,1,0,0,1551,2049
