game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2018-12-13,2018,15,Chiefs,Chargers,28,29,Arrowhead Stadium,39,5,0,outdoors,-3.5,54.0,1,1,0,2,2,1365,0.046,0.028,0.035,0.042,0.013,0.014,0.02,0.018,0.032,0.034,0.014,0.014,0.047,0.034,0.025,0.016,0.042,0.035,0.058,0.033,0.028,0.02,0.026,0.025,0.041,0.046,0.025,0.02,0.049,0.038,0.028,0.035,0.038,0.037,0
2018-12-15,2018,15,Jets,Texans,22,29,MetLife Stadium,51,8,0,outdoors,-7.0,44.0,1,0,0,2,2,1423,0.02,0.024,0.019,0.02,0.066,0.049,0.028,0.047,0.051,0.018,0.043,0.027,0.027,0.032,0.042,0.057,0.022,0.021,0.038,0.022,0.027,0.043,0.025,0.025,0.024,0.031,0.025,0.024,0.012,0.026,0.024,0.024,0.041,0.034,0
2018-12-15,2018,15,Broncos,Browns,16,17,Empower Field at Mile High,46,0,0,outdoors,-1.0,47.0,0,0,0,2,2,1225,0.021,0.012,0.031,0.023,0.029,0.027,0.034,0.025,0.038,0.03,0.024,0.043,0.021,0.025,0.039,0.024,0.032,0.021,0.032,0.022,0.024,0.036,0.029,0.03,0.029,0.048,0.044,0.033,0.024,0.028,0.023,0.013,0.034,0.043,0
2018-12-16,2018,15,Jaguars,Redskins,13,16,TIAA Bank Stadium,64,12,0,outdoors,-7.5,36.5,0,0,0,1,0,657,0.047,0.018,0.042,0.024,0.032,0.041,0.037,0.03,0.023,0.046,0.051,0.026,0.039,0.037,0.039,0.049,0.043,0.027,0.039,0.033,0.028,0.022,0.044,0.029,0.024,0.03,0.029,0.035,0.034,0.025,0.037,0.031,0.027,0.03,0
2018-12-16,2018,15,Vikings,Dolphins,41,17,U.S. Bank Stadium,0,0,0,dome,-7.5,45.0,1,0,1,2,0,1500,0.041,0.016,0.04,0.016,0.012,0.058,0.031,0.017,0.022,0.049,0.026,0.032,0.028,0.024,0.018,0.039,0.036,0.018,0.03,0.033,0.036,0.024,0.038,0.031,0.019,0.038,0.023,0.034,0.034,0.022,0.038,0.017,0.026,0.039,1
2018-12-16,2018,15,Bengals,Raiders,30,16,Paul Brown Stadium,43,2,0,outdoors,-3.0,46.0,0,0,0,0,0,2027,0.017,0.012,0.018,0.025,0.034,0.022,0.017,0.012,0.038,0.037,0.033,0.027,0.023,0.015,0.018,0.054,0.027,0.013,0.029,0.035,0.033,0.027,0.01,0.021,0.05,0.043,0.025,0.039,0.026,0.024,0.014,0.026,0.052,0.034,1
2018-12-16,2018,15,Bills,Lions,14,13,New Era Field,39,7,0,outdoors,-2.5,40.0,0,0,0,0,0,219,0.023,0.029,0.018,0.049,0.038,0.037,0.031,0.027,0.03,0.042,0.037,0.033,0.035,0.03,0.044,0.022,0.022,0.028,0.031,0.032,0.027,0.034,0.037,0.044,0.014,0.02,0.028,0.026,0.024,0.029,0.03,0.039,0.031,0.032,1
2018-12-16,2018,15,Colts,Cowboys,23,0,Lucas Oil Stadium,0,0,0,retractable roof (closed),-3.0,46.5,0,0,1,0,0,777,0.025,0.039,0.019,0.024,0.034,0.037,0.028,0.053,0.022,0.021,0.028,0.021,0.025,0.035,0.029,0.046,0.025,0.02,0.016,0.033,0.04,0.015,0.039,0.039,0.026,0.03,0.039,0.045,0.037,0.024,0.024,0.061,0.04,0.034,1
2018-12-16,2018,15,Giants,Titans,0,17,MetLife Stadium,40,6,0,outdoors,-2.5,42.0,0,0,0,0,1,757,0.013,0.044,0.026,0.011,0.036,0.044,0.028,0.047,0.037,0.026,0.028,0.035,0.037,0.02,0.059,0.038,0.022,0.029,0.03,0.015,0.027,0.041,0.025,0.029,0.023,0.029,0.04,0.025,0.033,0.042,0.017,0.029,0.031,0.035,0
2018-12-16,2018,15,Falcons,Cardinals,40,14,Mercedes-Benz Stadium,0,0,0,retractable roof (closed),-10.0,43.5,1,0,1,0,0,1598,0.028,0.01,0.04,0.022,0.017,0.028,0.029,0.015,0.036,0.049,0.026,0.044,0.027,0.012,0.019,0.037,0.034,0.022,0.034,0.021,0.033,0.026,0.026,0.035,0.02,0.04,0.043,0.034,0.036,0.033,0.029,0.022,0.022,0.05,1
2018-12-16,2018,15,Bears,Packers,24,17,Soldier Field,45,10,0,outdoors,-5.5,46.5,0,1,0,0,0,184,0.038,0.021,0.031,0.04,0.032,0.025,0.043,0.018,0.029,0.037,0.024,0.03,0.04,0.037,0.032,0.034,0.042,0.024,0.019,0.047,0.041,0.032,0.023,0.032,0.038,0.033,0.029,0.039,0.042,0.024,0.033,0.027,0.026,0.032,1
2018-12-16,2018,15,Ravens,Buccaneers,20,12,M&T Bank Stadium,43,10,0,outdoors,-8.5,45.0,0,0,0,0,0,850,0.039,0.029,0.035,0.048,0.03,0.026,0.038,0.022,0.022,0.035,0.039,0.061,0.034,0.04,0.017,0.025,0.048,0.03,0.027,0.021,0.038,0.045,0.036,0.03,0.026,0.028,0.024,0.024,0.024,0.026,0.039,0.024,0.025,0.021,1
2018-12-16,2018,15,49ers,Seahawks,26,23,Levi's Stadium,61,11,0,outdoors,-3.5,44.0,1,1,0,0,2,704,0.02,0.035,0.037,0.022,0.027,0.027,0.02,0.037,0.024,0.018,0.06,0.012,0.014,0.047,0.044,0.031,0.018,0.015,0.04,0.048,0.02,0.023,0.029,0.036,0.034,0.025,0.03,0.035,0.033,0.036,0.019,0.032,0.032,0.028,1
2018-12-16,2018,15,Steelers,Patriots,17,10,Heinz Field,42,5,0,outdoors,-2.5,56.0,0,0,0,0,0,468,0.044,0.063,0.059,0.044,0.014,0.028,0.029,0.034,0.03,0.039,0.044,0.015,0.025,0.035,0.007,0.022,0.058,0.045,0.029,0.029,0.051,0.042,0.032,0.037,0.03,0.033,0.023,0.021,0.035,0.034,0.037,0.041,0.018,0.032,1
2018-12-16,2018,15,Rams,Eagles,23,30,Los Angeles Memorial Coliseum,60,5,0,outdoors,-13.5,52.5,1,0,0,0,0,2392,0.055,0.043,0.045,0.032,0.021,0.036,0.042,0.042,0.024,0.019,0.016,0.025,0.05,0.033,0.023,0.03,0.039,0.042,0.041,0.026,0.021,0.037,0.037,0.037,0.037,0.03,0.028,0.048,0.035,0.038,0.032,0.06,0.023,0.02,0
2018-12-17,2018,15,Panthers,Saints,9,12,Bank of America Stadium,48,3,0,outdoors,-6.0,50.5,0,1,0,1,1,649,0.036,0.063,0.031,0.033,0.041,0.026,0.047,0.052,0.02,0.023,0.038,0.026,0.034,0.038,0.014,0.008,0.038,0.061,0.022,0.034,0.035,0.025,0.035,0.029,0.025,0.037,0.03,0.032,0.032,0.043,0.039,0.056,0.014,0.019,0
