game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2015-01-10,2014,19,Patriots,Ravens,35,31,Gillette Stadium,20,12,30,outdoors,-7.0,47.5,1,0,0,1,0,341,0.077,0.033,0.047,0.025,0.024,0.022,0.032,0.027,0.028,0.021,0.015,0.028,0.04,0.028,0.022,0.023,0.042,0.044,0.035,0.019,0.028,0.041,0.04,0.023,0.037,0.029,0.037,0.039,0.057,0.025,0.036,0.026,0.034,0.029,1
2015-01-10,2014,19,Seahawks,Panthers,31,17,CenturyLink Field,48,0,89,outdoors,-11.5,39.5,1,0,0,1,0,2280,0.067,0.03,0.034,0.03,0.026,0.027,0.083,0.039,0.012,0.023,0.013,0.025,0.056,0.036,0.031,0.029,0.025,0.034,0.051,0.023,0.015,0.024,0.032,0.032,0.03,0.025,0.02,0.029,0.041,0.019,0.046,0.041,0.028,0.015,1
2015-01-11,2014,19,Packers,Cowboys,26,21,Lambeau Field,24,0,62,outdoors,-6.0,51.5,0,0,0,1,0,946,0.039,0.044,0.041,0.029,0.021,0.043,0.029,0.046,0.029,0.024,0.017,0.023,0.045,0.032,0.03,0.032,0.038,0.024,0.021,0.027,0.037,0.039,0.035,0.029,0.038,0.036,0.021,0.016,0.055,0.04,0.04,0.039,0.027,0.023,1
2015-01-11,2014,19,Broncos,Colts,13,24,Empower Field at Mile High,40,7,71,outdoors,-7.0,53.5,0,0,0,1,0,1000,0.065,0.044,0.053,0.056,0.016,0.023,0.053,0.028,0.025,0.045,0.024,0.035,0.027,0.027,0.011,0.026,0.051,0.053,0.048,0.024,0.028,0.032,0.032,0.03,0.04,0.027,0.025,0.024,0.042,0.037,0.037,0.045,0.03,0.038,0
