game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2008-12-11,2008,15,Bears,Saints,27,24,Soldier Field,28,11,60,outdoors,-3.0,46.0,1,0,0,2,2,834,0.037,0.031,0.016,0.057,0.052,0.021,0.022,0.022,0.033,0.039,0.032,0.034,0.037,0.026,0.023,0.01,0.021,0.033,0.024,0.032,0.028,0.031,0.026,0.031,0.029,0.032,0.022,0.037,0.027,0.029,0.013,0.024,0.05,0.027,1
2008-12-14,2008,15,Rams,Seahawks,20,23,The Dome at America's Center,0,0,0,dome,-2.5,42.0,1,1,1,0,0,1720,0.015,0.02,0.018,0.018,0.03,0.048,0.016,0.021,0.052,0.03,0.046,0.032,0.02,0.021,0.044,0.031,0.013,0.028,0.04,0.021,0.028,0.045,0.038,0.015,0.014,0.04,0.039,0.025,0.011,0.03,0.021,0.015,0.035,0.044,0
2008-12-14,2008,15,Chiefs,Chargers,21,22,Arrowhead Stadium,36,25,65,outdoors,-5.5,41.0,1,1,0,0,1,1333,0.011,0.046,0.021,0.05,0.034,0.043,0.012,0.022,0.082,0.031,0.034,0.025,0.035,0.048,0.059,0.03,0.016,0.034,0.03,0.049,0.02,0.036,0.039,0.029,0.029,0.041,0.049,0.015,0.038,0.052,0.012,0.017,0.053,0.043,0
2008-12-14,2008,15,Colts,Lions,31,21,Lucas Oil Stadium,0,0,0,retractable roof (closed),-17.0,45.0,1,0,1,0,0,241,0.05,0.011,0.065,0.022,0.01,0.055,0.02,0.01,0.033,0.058,0.017,0.035,0.049,0.021,0.013,0.064,0.042,0.03,0.037,0.024,0.035,0.044,0.039,0.029,0.039,0.036,0.029,0.033,0.028,0.02,0.028,0.01,0.038,0.066,1
2008-12-14,2008,15,Jets,Bills,31,27,MetLife Stadium,40,20,47,outdoors,-8.0,41.0,1,1,0,0,0,278,0.029,0.019,0.021,0.018,0.032,0.03,0.03,0.02,0.021,0.036,0.033,0.033,0.026,0.038,0.036,0.044,0.029,0.024,0.015,0.024,0.03,0.021,0.027,0.027,0.033,0.039,0.039,0.038,0.019,0.023,0.035,0.022,0.033,0.021,1
2008-12-14,2008,15,Dolphins,49ers,14,9,Hard Rock Stadium,77,17,54,outdoors,-5.5,41.0,0,0,0,0,0,2579,0.03,0.01,0.033,0.02,0.021,0.053,0.025,0.015,0.032,0.035,0.026,0.053,0.035,0.014,0.025,0.054,0.019,0.016,0.035,0.025,0.02,0.042,0.028,0.024,0.039,0.051,0.042,0.023,0.021,0.028,0.036,0.025,0.024,0.048,1
2008-12-14,2008,15,Bengals,Redskins,20,13,Paul Brown Stadium,49,15,40,outdoors,-6.5,36.5,0,0,0,0,0,411,0.019,0.026,0.018,0.04,0.035,0.024,0.018,0.064,0.036,0.009,0.03,0.027,0.03,0.023,0.046,0.031,0.014,0.015,0.017,0.028,0.026,0.027,0.041,0.027,0.02,0.022,0.02,0.03,0.03,0.035,0.028,0.042,0.037,0.013,1
2008-12-14,2008,15,Falcons,Buccaneers,13,10,Georgia Dome,0,0,0,dome,-4.5,43.5,0,1,1,0,2,364,0.022,0.031,0.033,0.044,0.043,0.019,0.015,0.033,0.033,0.053,0.031,0.023,0.026,0.037,0.03,0.032,0.043,0.052,0.021,0.032,0.045,0.035,0.048,0.03,0.025,0.027,0.037,0.037,0.032,0.036,0.022,0.029,0.029,0.03,1
2008-12-14,2008,15,Jaguars,Packers,20,16,Jacksonville Municipal Stadium,67,6,60,outdoors,-2.5,46.0,0,0,0,0,0,1040,0.026,0.053,0.034,0.031,0.038,0.013,0.036,0.029,0.02,0.037,0.027,0.021,0.032,0.032,0.039,0.027,0.035,0.029,0.029,0.049,0.024,0.025,0.033,0.034,0.017,0.037,0.05,0.015,0.015,0.039,0.04,0.031,0.015,0.032,1
2008-12-14,2008,15,Texans,Titans,13,12,Reliant Stadium,0,0,0,retractable roof (open),-3.0,45.0,0,1,0,0,0,671,0.021,0.047,0.042,0.036,0.016,0.042,0.014,0.045,0.022,0.022,0.035,0.021,0.024,0.04,0.025,0.015,0.033,0.056,0.028,0.034,0.025,0.028,0.03,0.023,0.024,0.028,0.036,0.015,0.021,0.041,0.028,0.032,0.025,0.03,1
2008-12-14,2008,15,Cardinals,Vikings,14,35,State Farm Stadium,0,0,0,retractable roof (open),-3.5,46.5,1,0,0,0,0,1283,0.025,0.034,0.042,0.012,0.02,0.052,0.013,0.061,0.031,0.007,0.055,0.044,0.034,0.037,0.018,0.031,0.043,0.03,0.033,0.018,0.033,0.044,0.023,0.027,0.042,0.03,0.029,0.03,0.033,0.03,0.027,0.025,0.02,0.021,0
2008-12-14,2008,15,Ravens,Steelers,9,13,M&T Bank Stadium,45,14,53,outdoors,-3.0,34.0,0,1,0,0,0,197,0.043,0.051,0.018,0.047,0.03,0.016,0.067,0.042,0.01,0.01,0.025,0.022,0.039,0.047,0.03,0.039,0.024,0.03,0.046,0.038,0.032,0.035,0.046,0.041,0.019,0.022,0.027,0.025,0.037,0.043,0.061,0.065,0.02,0.009,0
2008-12-14,2008,15,Panthers,Broncos,30,10,Bank of America Stadium,46,5,64,outdoors,-7.5,48.0,0,0,0,2,0,1357,0.03,0.019,0.024,0.03,0.039,0.021,0.026,0.012,0.025,0.066,0.027,0.038,0.029,0.022,0.024,0.022,0.041,0.035,0.024,0.029,0.046,0.019,0.03,0.02,0.049,0.025,0.022,0.039,0.041,0.029,0.019,0.012,0.052,0.042,1
2008-12-14,2008,15,Raiders,Patriots,26,49,Oakland-Alameda County Coliseum,44,15,83,outdoors,-7.0,39.5,1,0,0,1,0,2675,0.012,0.062,0.017,0.058,0.046,0.019,0.013,0.034,0.049,0.018,0.031,0.019,0.022,0.032,0.037,0.038,0.023,0.029,0.045,0.029,0.016,0.045,0.024,0.036,0.029,0.034,0.055,0.046,0.031,0.018,0.018,0.055,0.049,0.013,0
2008-12-14,2008,15,Cowboys,Giants,20,8,Texas Stadium,71,0,57,outdoors,-3.0,46.0,0,1,0,0,0,1454,0.048,0.052,0.04,0.022,0.014,0.035,0.059,0.109,0.027,0.008,0.038,0.026,0.027,0.034,0.012,0.016,0.057,0.037,0.048,0.027,0.022,0.036,0.023,0.039,0.036,0.037,0.019,0.026,0.032,0.041,0.041,0.08,0.019,0.013,1
2008-12-15,2008,15,Eagles,Browns,30,10,Lincoln Financial Field,58,12,83,outdoors,-16.0,40.0,0,0,0,1,1,360,0.046,0.023,0.032,0.019,0.016,0.03,0.066,0.01,0.013,0.026,0.028,0.03,0.024,0.041,0.025,0.029,0.043,0.024,0.04,0.029,0.032,0.023,0.035,0.04,0.027,0.029,0.025,0.025,0.043,0.046,0.056,0.028,0.019,0.028,1
