game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
05/12/2013,Jacksonville Jaguars,Houston Texans,27,20,20:29:00,EverBank Field ,00:03:18,18,23,28,149,0,19,83,0,13,28,138,3,0,33,58,357,2,2,1,6,3,34,132,323,281,406,0,0,1,0,0,2,8,57,14,177,4,14,8,17,0,0,1,2,00:24:38,00:35:22,Jaguars,outdoors,grass ,"60,414","72 degrees, relative humidity 73%, wind 7 mph, wind chill 0",Houston Texans,-3.5,43.5,over
08/12/2013,Green Bay Packers,Atlanta Falcons,22,21,13:02:00,Lambeau Field ,00:02:56,20,18,33,112,1,23,83,0,24,32,258,1,1,20,35,206,2,1,5,36,1,4,222,202,334,285,1,1,1,1,2,2,2,10,3,15,7,15,6,13,0,0,0,1,00:33:32,00:26:28,Packers (deferred),outdoors,grass ,"77,550","9 degrees, relative humidity 80%, wind 6 mph, wind chill -1",Green Bay Packers,-3.5,47,under
08/12/2013,Philadelphia Eagles,Detroit Lions,34,20,13:02:00,Lincoln Financial Field ,00:03:10,23,11,46,299,4,33,80,1,11,22,179,1,1,10,25,151,0,0,0,0,0,0,179,151,478,231,1,0,7,3,1,3,1,5,9,48,3,12,5,15,2,3,1,2,00:31:27,00:28:33,Lions,outdoors,grass ,"69,144","27 degrees, relative humidity 56%, wind 6 mph, wind chill 20",Philadelphia Eagles,-2,51,over
08/12/2013,Pittsburgh Steelers,Miami Dolphins,28,34,13:02:00,Heinz Field ,00:03:21,16,18,21,84,0,25,181,1,23,39,349,3,0,20,33,200,3,1,3,21,2,14,328,186,412,367,1,1,2,0,1,1,9,63,5,36,8,17,6,14,1,2,0,0,00:31:05,00:28:55,Steelers,outdoors,grass ,"52,489","25 degrees, relative humidity 73%, wind 9 mph, wind chill 16",Pittsburgh Steelers,-3,40.5,over
08/12/2013,New England Patriots,Cleveland Browns,27,26,13:02:00,Gillette Stadium ,00:03:41,30,24,21,87,1,25,108,0,32,52,418,2,1,29,44,391,3,0,4,21,1,5,397,386,484,494,1,1,0,0,2,0,6,41,7,75,6,15,7,15,1,1,0,0,00:28:20,00:31:40,Patriots (deferred),outdoors,fieldturf ,"68,756","30 degrees, relative humidity 46%, wind 5 mph, wind chill 25",New England Patriots,-9.5,47.5,over
08/12/2013,Cincinnati Bengals,Indianapolis Colts,42,28,13:02:00,Paul Brown Stadium ,00:03:11,28,21,35,155,3,12,63,0,24,35,275,3,0,29,46,326,4,0,0,0,0,0,275,326,430,389,0,0,1,0,0,0,7,60,6,47,6,12,2,10,1,1,0,0,00:37:45,00:22:15,Colts,outdoors,fieldturf ,"62,507","25 degrees, relative humidity 85%, wind 7 mph, wind chill 17",Cincinnati Bengals,-7,43,over
08/12/2013,Tampa Bay Buccaneers,Buffalo Bills,27,6,13:02:00,Raymond James Stadium ,00:03:18,13,14,36,165,1,22,67,0,9,25,90,2,2,18,33,184,0,4,1,9,7,37,81,147,246,214,1,0,2,1,2,5,8,76,11,114,4,15,1,11,0,0,0,0,00:31:50,00:28:10,Bills (deferred),outdoors,grass ,"59,194","82 degrees, relative humidity 62%, wind 13 mph",Tampa Bay Buccaneers,-2.5,42.5,under
08/12/2013,New York Jets,Oakland Raiders,37,27,13:02:00,MetLife Stadium ,00:02:57,18,19,32,143,2,26,150,1,16,25,219,1,1,20,36,265,2,1,1,10,3,32,209,233,352,383,1,0,2,0,1,1,4,36,4,31,7,13,5,15,0,0,2,2,00:29:26,00:30:34,Raiders (deferred),outdoors,fieldturf,"76,957","33 degrees, relative humidity 51%, wind 6 mph, wind chill 27",New York Jets,-3,39,over
08/12/2013,Baltimore Ravens,Minnesota Vikings,29,26,13:03:00,M&T Bank Stadium ,00:03:24,23,15,27,97,0,25,114,1,28,50,245,3,3,17,38,265,2,0,2,17,0,0,228,265,325,379,1,0,3,1,3,1,5,45,6,90,6,16,5,17,1,3,1,1,00:32:12,00:27:48,Vikings (deferred),outdoors,sportturf,"70,921","33 degrees, relative humidity 67%, wind 7 mph, wind chill 28",Baltimore Ravens,-6,41.5,over
08/12/2013,Washington Redskins,Kansas City Chiefs,10,45,13:03:00,FedExField ,00:03:02,13,20,17,65,0,38,192,2,19,42,223,1,1,15,23,154,2,1,6,31,0,0,192,154,257,346,2,1,0,0,2,1,4,27,3,30,3,15,2,11,0,2,1,2,00:25:50,00:34:10,Redskins (deferred),outdoors,grass ,"56,247","30 degrees, relative humidity 79%, wind 10 mph, wind chill 21",Kansas City Chiefs,-3,44,over
