game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
18/09/2005,Indianapolis Colts,Jacksonville Jaguars,10,3,12:03:00,RCA Dome ,00:02:58,18,12,38,146,1,24,128,0,13,28,122,0,1,16,29,198,0,0,0,0,6,23,122,175,268,303,0,0,6,0,1,0,6,45,7,60,7,16,6,15,0,0,0,0,00:28:40,00:31:20,Colts,dome,fieldturf,"56,460",,Indianapolis Colts,-9,46,under
18/09/2005,Houston Texans,Pittsburgh Steelers,7,27,13:02:00,Reliant Stadium ,00:02:55,16,18,25,113,0,32,135,1,16,26,167,1,0,14,21,254,2,0,8,59,1,1,108,253,221,388,1,1,0,0,1,0,7,58,5,40,8,15,4,11,0,1,1,2,00:30:54,00:29:06,Steelers,retractable roof (open),grass,"70,742",,Pittsburgh Steelers,-4.5,39.5,under
18/09/2005,Carolina Panthers,New England Patriots,27,17,13:02:00,Bank of America Stadium ,00:03:16,17,14,36,104,3,16,39,0,11,26,154,0,1,23,44,270,1,1,1,8,2,21,146,249,250,288,0,0,2,2,1,3,6,45,12,86,5,14,4,14,0,0,0,0,00:31:59,00:28:01,Patriots,outdoors,grass,"73,528","90 degrees, relative humidity 49%, wind 5 mph, wind chill 0",New England Patriots,-3,44,push
18/09/2005,Chicago Bears,Detroit Lions,38,6,13:02:00,Soldier Field ,00:03:08,18,14,37,187,2,17,29,0,15,22,161,1,0,21,43,216,1,5,2,12,3,11,149,205,336,234,0,0,0,0,0,5,6,40,3,30,8,15,5,14,0,0,0,3,00:33:12,00:26:48,Lions,outdoors,grass,"62,019","76 degrees, relative humidity 50%, wind 14 mph, wind chill 0",Detroit Lions,-2.5,34,over
18/09/2005,Tampa Bay Buccaneers,Buffalo Bills,19,3,13:02:00,Raymond James Stadium ,00:02:52,18,8,40,191,2,17,47,0,16,22,136,0,0,13,31,112,0,0,1,9,2,12,127,100,318,147,0,0,0,0,0,0,13,99,3,20,7,14,4,14,0,0,0,1,00:38:50,00:21:10,Bills,outdoors,grass,"64,777","91 degrees, relative humidity 45%, wind 4 mph, wind chill 0",Tampa Bay Buccaneers,-2.5,35,under
18/09/2005,Cincinnati Bengals,Minnesota Vikings,37,8,13:03:00,Paul Brown Stadium ,00:03:12,26,21,39,167,1,14,77,1,27,40,337,3,1,21,37,236,0,5,0,0,2,9,337,227,504,304,1,0,2,2,1,7,17,115,7,49,8,17,5,9,1,1,0,0,00:38:40,00:21:20,Bengals,outdoors,fieldturf,"65,763","74 degrees, relative humidity 71%, no wind, wind chill 0",Cincinnati Bengals,-3,47,under
18/09/2005,Philadelphia Eagles,San Francisco 49ers,42,3,13:03:00,Lincoln Financial Field ,00:02:50,30,8,30,140,1,17,58,0,33,39,458,5,0,13,27,107,0,3,2,15,3,23,443,84,583,142,2,1,0,0,1,3,6,50,2,15,7,10,3,12,0,0,0,0,00:37:57,00:22:03,Eagles,outdoors,grass,"67,727","82 degrees, relative humidity 49%, wind 7 mph, wind chill 0",Philadelphia Eagles,-11.5,43,over
18/09/2005,Tennessee Titans,Baltimore Ravens,25,10,13:03:00,The Coliseum ,00:03:16,16,12,29,97,0,13,14,0,19,37,195,1,0,25,41,212,1,1,1,2,6,44,193,168,290,182,1,1,1,1,1,2,5,47,10,73,7,17,4,16,0,0,1,1,00:33:06,00:26:54,Ravens,outdoors,grass,"69,149","75 degrees, relative humidity 62%, no wind",Baltimore Ravens,-3.5,36,under
18/09/2005,Arizona Cardinals,St. Louis Rams,12,17,16:05:00,Sun Devil Stadium ,00:03:07,18,16,16,82,0,22,108,1,29,42,327,0,1,18,29,216,1,1,5,30,4,27,297,189,379,297,3,1,1,0,2,1,8,72,4,30,4,13,3,11,0,0,0,0,00:31:09,00:28:51,Rams,outdoors,grass,"45,160","94 degrees, relative humidity 10%, no wind, wind chill 0",St. Louis Rams,-1,44,under
18/09/2005,Seattle Seahawks,Atlanta Falcons,21,18,16:06:00,Qwest Field ,00:02:56,24,14,34,163,1,28,115,1,20,31,281,2,0,11,20,123,1,0,2,16,3,15,265,108,428,223,1,1,1,0,1,0,10,79,3,24,4,12,2,11,0,0,0,1,00:36:35,00:23:25,Falcons,outdoors,fieldturf,"66,030","60 degrees, relative humidity 71%, wind 4 mph, wind chill 0",Seattle Seahawks,-1,41.5,under
18/09/2005,Denver Broncos,San Diego Chargers,20,17,16:15:00,Invesco Field at Mile High ,00:03:02,21,15,26,98,1,24,79,2,23,37,248,0,1,15,23,175,0,1,3,15,4,41,233,134,331,213,3,1,1,1,2,2,5,45,7,42,6,16,4,12,1,1,0,0,00:33:05,00:26:55,Broncos,outdoors,grass,"75,310","77 degrees, relative humidity 23%, wind 4 mph, wind chill 0",Denver Broncos,-3,44,under
18/09/2005,Green Bay Packers,Cleveland Browns,24,26,16:15:00,Lambeau Field ,00:03:12,27,19,30,116,0,23,55,0,32,44,342,3,2,21,32,336,3,0,1,6,0,0,336,336,452,391,2,0,2,0,2,0,6,41,6,40,10,14,2,8,0,0,0,0,00:35:11,00:24:49,Packers,outdoors,grass,"70,400","76 degrees, relative humidity 49%, wind 7 mph, wind chill 0",Green Bay Packers,-7,43,over
18/09/2005,New York Jets,Miami Dolphins,17,7,16:16:00,Giants Stadium ,00:03:01,20,15,34,98,0,18,66,0,19,30,190,2,0,20,43,177,1,1,2,17,2,8,173,169,271,235,3,0,3,0,0,1,5,40,10,88,6,15,4,14,0,1,1,1,00:33:59,00:26:01,Jets,outdoors,fieldturf,"77,918","82 degrees, relative humidity 42%, wind 8 mph, wind chill 0",New York Jets,-6,37,under
18/09/2005,Oakland Raiders,Kansas City Chiefs,17,23,20:30:00,McAfee Coliseum ,00:03:12,16,17,18,72,1,36,125,2,21,35,263,1,0,18,28,237,0,0,2,8,1,8,255,229,327,354,3,2,1,1,2,1,7,84,9,78,4,12,5,16,0,1,2,2,00:25:26,00:34:34,Chiefs,outdoors,grass,"62,273","70 degrees, relative humidity 54%, wind 16 mph, wind chill 0",Kansas City Chiefs,-1.5,53,under
19/09/2005,New Orleans Saints,New York Giants,10,27,19:36:00,Mercedes-Benz Superdome,00:03:29,23,15,22,72,0,29,92,2,27,45,375,1,3,13,24,165,1,0,4,25,0,0,350,165,422,257,3,3,2,1,6,1,13,92,9,86,8,15,5,12,0,0,0,0,00:31:52,00:28:08,Saints,outdoors,fieldturf,"68,031","77 degrees, relative humidity 63%, wind 8 mph, wind chill 0",New York Giants,-3,43,under
19/09/2005,Dallas Cowboys,Washington Redskins,13,14,21:07:00,Texas Stadium ,00:03:23,14,14,29,90,0,25,104,0,21,36,261,1,0,20,34,291,2,1,0,0,5,49,261,242,351,346,3,0,1,1,0,2,7,60,12,80,7,17,6,17,0,1,2,2,00:32:07,00:27:53,Cowboys,outdoors,fieldturf,"65,207","93 degrees, relative humidity 36%, no wind, wind chill 0",Dallas Cowboys,-6,36,under
