game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2018-09-27,2018,4,Rams,Vikings,38,31,Los Angeles Memorial Coliseum,75,3,0,outdoors,Los Angeles Rams,-7.5,48.5,1,25,25,20,100,0,17,54,0,26,34,465,5,0,36,50,422,3,0,1,9,4,30,456,392,556,446,1,0,1,1,0,1,2,15,4,35,1,6,8,16,0,1,2,2,1666,1934
2018-09-30,2018,4,Packers,Bills,22,0,Lambeau Field,49,9,0,outdoors,Green Bay Packers,-8.5,43.5,0,22,11,32,141,1,16,58,0,22,40,298,1,1,16,33,151,0,2,2,16,7,64,282,87,423,145,3,1,1,1,2,3,5,60,3,20,11,19,3,16,0,1,0,0,2077,1523
2018-09-30,2018,4,Cowboys,Lions,26,24,AT&T Stadium,0,0,0,retractable roof (closed),Dallas Cowboys,-2.5,43.5,1,26,18,35,183,0,20,96,1,17,27,255,2,0,24,30,307,2,0,3,24,3,21,231,286,414,382,2,0,0,0,0,0,2,20,8,58,5,12,6,11,1,1,0,0,1805,1795
2018-09-30,2018,4,Falcons,Bengals,36,37,Mercedes-Benz Stadium,0,0,0,retractable roof (closed),Atlanta Falcons,-3.5,52.5,1,25,30,24,92,1,23,99,2,29,39,419,3,0,29,41,337,3,1,3,16,3,29,403,308,495,407,0,0,0,0,0,1,10,95,6,55,11,15,7,12,0,1,2,2,1762,1838
2018-09-30,2018,4,Titans,Eagles,26,23,Nissan Stadium,80,4,0,outdoors,Philadelphia Eagles,-3.0,41.5,1,22,25,22,70,1,22,117,0,30,43,344,2,1,33,50,348,2,0,3,17,4,33,327,315,397,432,1,0,3,1,1,1,4,30,8,77,5,16,5,15,3,3,0,0,2130,2065
2018-09-30,2018,4,Jaguars,Jets,31,12,TIAA Bank Stadium,86,10,0,outdoors,Jacksonville Jaguars,-7.5,40.5,1,23,10,34,126,1,14,34,0,29,38,388,2,1,17,34,167,1,0,2,11,3,23,377,144,503,178,4,2,0,0,3,0,9,89,6,43,6,15,3,13,1,1,0,1,2255,1345
2018-09-30,2018,4,Patriots,Dolphins,38,7,Gillette Stadium,65,6,0,outdoors,New England Patriots,-6.5,50.5,0,26,11,40,175,2,18,56,0,23,35,274,3,2,15,25,135,1,1,0,0,2,19,274,116,449,172,0,0,1,1,2,2,6,57,10,89,10,15,3,11,0,0,1,1,2182,1418
2018-09-30,2018,4,Colts,Texans,34,37,Lucas Oil Stadium,0,0,0,retractable roof (closed),Houston Texans,-1.0,48.0,1,28,30,17,41,0,35,119,1,40,62,464,4,0,29,42,375,2,1,4,27,7,28,437,347,478,466,3,2,0,0,2,1,10,85,10,54,10,17,8,16,0,1,1,1,1796,2404
2018-09-30,2018,4,Bears,Buccaneers,48,10,Soldier Field,66,5,0,outdoors,Chicago Bears,-3.0,46.0,1,28,16,31,139,0,18,60,0,19,26,354,6,0,25,38,271,1,3,1,10,4,20,344,251,483,311,0,0,1,0,0,3,4,38,11,99,4,8,3,12,0,0,2,2,1686,1914
2018-09-30,2018,4,Cardinals,Seahawks,17,20,State Farm Stadium,0,0,0,retractable roof (closed),Seattle Seahawks,-3.5,40.0,0,18,19,28,92,1,34,171,2,15,27,180,1,0,19,26,172,0,0,1,9,2,12,171,160,263,331,2,1,3,0,1,0,5,38,8,57,5,12,0,10,0,0,1,2,1694,1906
