game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2018-12-13,2018,15,Chiefs,Chargers,28,29,Arrowhead Stadium,39,5,0,outdoors,Kansas City Chiefs,-3.5,54.0,1,22,30,17,60,2,24,119,2,24,34,243,2,0,26,38,313,2,2,2,9,5,25,234,288,294,407,2,0,2,0,0,2,10,66,7,50,6,10,6,10,0,0,1,1,1604,1996
2018-12-15,2018,15,Jets,Texans,22,29,MetLife Stadium,51,8,0,outdoors,Houston Texans,-7.0,44.0,1,21,15,31,90,1,17,47,0,24,38,253,2,0,22,28,294,2,0,3,25,6,55,228,239,318,286,1,1,0,0,1,0,9,60,5,43,9,17,1,9,1,3,0,0,2104,1496
2018-12-15,2018,15,Broncos,Browns,16,17,Empower Field at Mile High,46,0,0,outdoors,Denver Broncos,-1.0,47.0,0,22,21,20,32,1,28,134,0,31,48,257,0,2,18,31,188,2,1,2,19,2,13,238,175,270,309,0,0,1,1,2,2,8,51,6,75,5,14,5,12,1,2,1,2,1962,1638
2018-12-16,2018,15,Jaguars,Redskins,13,16,TIAA Bank Stadium,64,12,0,outdoors,Jacksonville Jaguars,-7.5,36.5,0,11,16,26,172,0,33,109,0,9,17,57,0,1,16,25,151,1,0,6,37,3,15,20,136,192,245,1,1,2,0,2,0,8,55,6,48,5,13,7,15,0,0,0,0,1614,1986
2018-12-16,2018,15,Vikings,Dolphins,41,17,U.S. Bank Stadium,0,0,0,dome,Minnesota Vikings,-7.5,45.0,1,22,12,40,220,3,20,156,1,14,21,215,2,1,11,24,108,0,0,2,17,9,71,198,37,418,193,0,0,1,0,1,0,6,45,8,49,5,13,2,12,0,0,0,2,1996,1604
2018-12-16,2018,15,Bengals,Raiders,30,16,Paul Brown Stadium,43,2,0,outdoors,Cincinnati Bengals,-3.0,46.0,0,18,13,41,171,2,16,68,0,14,33,130,1,1,21,38,263,1,0,1,7,5,34,123,229,294,297,0,0,2,2,1,2,9,85,8,90,8,19,3,14,2,2,0,0,1999,1601
2018-12-16,2018,15,Bills,Lions,14,13,New Era Field,39,7,0,outdoors,Buffalo Bills,-2.5,40.0,0,20,14,37,117,1,26,105,1,13,26,204,1,0,22,29,208,1,0,1,9,0,0,195,208,312,313,1,0,0,0,0,0,3,20,4,81,3,12,5,13,1,2,0,0,1866,1734
2018-12-16,2018,15,Colts,Cowboys,23,0,Lucas Oil Stadium,0,0,0,retractable roof (closed),Indianapolis Colts,-3.0,46.5,0,25,19,39,178,2,22,112,0,16,27,192,0,0,24,39,206,0,1,0,0,3,26,192,180,370,292,2,1,1,0,1,1,6,55,9,74,8,12,4,12,0,0,1,5,1908,1692
2018-12-16,2018,15,Giants,Titans,0,17,MetLife Stadium,40,6,0,outdoors,Tennessee Titans,-2.5,42.0,0,15,22,16,47,0,45,215,2,21,44,229,0,1,13,21,94,0,0,3,16,1,8,213,86,260,301,1,1,0,0,2,0,10,58,4,35,3,16,5,14,2,3,1,1,1479,2121
2018-12-16,2018,15,Falcons,Cardinals,40,14,Mercedes-Benz Stadium,0,0,0,retractable roof (closed),Atlanta Falcons,-10.0,43.5,1,23,18,27,215,2,22,60,1,22,36,231,2,0,23,36,243,1,2,2,11,7,50,220,193,435,253,0,0,1,1,0,3,6,50,8,75,5,13,3,13,0,0,2,2,1840,1760
2018-12-16,2018,15,Bears,Packers,24,17,Soldier Field,45,10,0,outdoors,Chicago Bears,-5.5,46.5,0,19,19,29,100,1,19,88,1,20,28,235,2,0,25,42,274,0,1,1,3,5,39,232,235,332,323,3,1,1,0,1,1,4,24,7,48,3,10,5,14,0,1,1,1,1823,1777
2018-12-16,2018,15,Ravens,Buccaneers,20,12,M&T Bank Stadium,43,10,0,outdoors,Baltimore Ravens,-8.5,45.0,0,24,12,49,242,1,21,85,1,14,23,131,1,0,13,25,157,0,1,2,3,1,1,128,156,370,241,2,2,0,0,2,1,8,70,6,58,9,16,3,10,1,1,0,1,2230,1370
2018-12-16,2018,15,49ers,Seahawks,26,23,Levi's Stadium,61,11,0,outdoors,Seattle Seahawks,-3.5,44.0,1,20,18,26,94,0,35,168,1,20,29,275,1,0,23,31,237,2,0,3,18,3,20,257,217,351,385,1,1,1,0,1,0,8,66,14,148,3,10,9,19,0,0,1,1,1780,2234
2018-12-16,2018,15,Steelers,Patriots,17,10,Heinz Field,42,5,0,outdoors,New England Patriots,-2.5,56.0,0,24,18,25,158,0,19,96,0,22,34,235,2,2,25,36,279,1,1,2,17,1,7,218,272,376,368,0,0,0,0,2,1,4,40,14,106,4,9,3,10,0,0,0,1,1849,1751
2018-12-16,2018,15,Rams,Eagles,23,30,Los Angeles Memorial Coliseum,60,5,0,outdoors,Los Angeles Rams,-13.5,52.5,1,23,17,18,82,2,30,111,3,35,54,339,0,1,24,31,270,0,1,2,14,0,0,325,270,407,381,3,2,0,0,3,1,5,50,6,49,4,12,4,13,0,1,0,1,1704,1896
2018-12-17,2018,15,Panthers,Saints,9,12,Bank of America Stadium,48,3,0,outdoors,New Orleans Saints,-6.0,50.5,0,13,21,23,98,0,32,155,1,17,30,181,1,1,23,35,203,0,1,4,32,2,12,149,191,247,346,1,1,1,1,2,2,4,48,9,80,7,15,4,13,1,2,1,1,1491,2109
