game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
20/01/2008,New England Patriots,San Diego Chargers,21,12,15:05:00,Gillette Stadium ,00:02:55,25,17,31,149,1,22,104,0,22,33,209,2,3,19,37,211,0,2,2,11,1,4,198,207,347,311,1,0,1,0,3,2,2,19,1,5,7,13,3,12,0,0,0,0,00:33:20,00:26:40,Chargers,outdoors,fieldturf,"68,756","23 degrees, relative humidity 33%, wind 17 mph, wind chill 9",New England Patriots,-14,48,under
20/01/2008,Green Bay Packers,New York Giants,20,23,18:42:00,Lambeau Field ,00:03:33,13,24,14,28,0,39,134,2,19,35,236,2,2,21,40,251,0,0,0,0,2,8,236,243,264,377,1,0,5,1,2,1,7,37,6,50,1,10,6,16,0,0,0,1,00:22:34,00:40:01,Packers,outdoors,grass,"72,740","-1 degrees, relative humidity 49%, wind 12 mph, wind chill -23",Green Bay Packers,-7.5,41.5,over
