game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2012-11-29,2012,13,Falcons,Saints,23,13,Georgia Dome,0,0,0,dome,Atlanta Falcons,-3.5,55.0,0,15,24,23,124,1,23,101,1,18,33,165,1,0,28,50,341,0,5,1,6,1,6,159,335,283,436,1,1,0,0,1,5,5,25,5,30,1,11,7,14,0,0,0,0,1576,2024
2012-12-02,2012,13,Rams,49ers,16,13,The Dome at America's Center,0,0,0,dome,San Francisco 49ers,-8.0,41.0,0,16,18,27,85,0,36,148,1,26,39,221,0,0,21,32,208,0,0,2,13,3,17,208,191,293,339,0,0,1,1,0,1,8,65,11,97,3,16,8,19,0,1,0,1,2140,2334
2012-12-02,2012,13,Dolphins,Patriots,16,23,Sun Life Stadium,77,18,66,outdoors,New England Patriots,-9.0,51.5,0,15,25,27,101,1,32,108,1,13,29,186,0,0,24,40,238,1,1,3,10,4,25,176,213,277,321,5,1,0,0,1,1,7,77,6,50,3,13,7,15,1,2,0,0,1596,2004
2012-12-02,2012,13,Packers,Vikings,23,14,Lambeau Field,45,8,79,outdoors,Green Bay Packers,-7.5,47.0,0,22,16,36,152,1,28,240,1,27,35,286,1,1,12,25,119,1,2,2,3,0,0,283,119,435,359,0,0,1,0,1,2,10,78,5,48,9,16,6,12,0,0,0,0,2310,1290
2012-12-02,2012,13,Titans,Texans,10,24,Nissan Stadium,66,19,60,outdoors,Houston Texans,-7.0,47.0,0,17,16,17,89,0,35,124,1,21,45,309,1,3,21,35,207,2,0,6,44,0,0,265,207,354,331,3,3,1,0,6,0,4,35,11,97,4,15,4,17,0,2,1,1,1572,2028
2012-12-02,2012,13,Bills,Jaguars,34,18,Ralph Wilson Stadium,52,17,87,outdoors,Buffalo Bills,-6.0,42.0,1,20,21,46,232,2,18,50,1,9,17,112,2,1,19,42,202,1,1,0,0,3,16,112,186,344,236,1,1,3,1,2,2,9,100,8,74,5,12,1,10,0,1,0,3,2109,1491
2012-12-02,2012,13,Chiefs,Panthers,27,21,Arrowhead Stadium,61,0,60,outdoors,Carolina Panthers,-6.0,41.0,1,23,19,43,158,1,22,165,0,19,23,201,2,0,15,27,232,3,0,1,4,2,12,197,220,355,385,0,0,1,0,0,0,1,5,7,45,6,14,6,10,3,3,0,0,2233,1367
2012-12-02,2012,13,Lions,Colts,33,35,Ford Field,0,0,0,dome,Detroit Lions,-7.0,51.0,1,21,23,29,138,1,18,87,1,27,46,313,2,1,24,54,391,4,3,0,0,2,19,313,372,451,459,1,0,1,0,1,3,8,61,4,36,6,17,4,15,0,0,2,2,2258,1342
2012-12-02,2012,13,Jets,Cardinals,7,6,MetLife Stadium,46,6,89,outdoors,New York Jets,-6.0,36.5,0,20,5,43,177,0,21,81,0,15,28,126,1,3,10,31,72,0,1,3,14,2,16,112,56,289,137,1,1,0,0,4,1,3,20,4,30,5,14,0,15,0,0,1,2,2288,1312
2012-12-02,2012,13,Bears,Seahawks,17,23,Soldier Field,61,4,76,outdoors,Chicago Bears,-3.5,37.0,1,22,25,33,132,0,32,176,1,17,26,233,2,0,23,37,293,2,0,0,0,2,10,233,283,365,459,3,0,2,1,0,1,5,45,8,55,6,12,8,15,0,1,1,1,1972,2075
2012-12-02,2012,13,Broncos,Buccaneers,31,23,Empower Field at Mile High,64,4,16,outdoors,Denver Broncos,-7.5,50.0,1,25,18,29,91,0,21,71,0,27,38,242,3,1,18,39,242,2,1,0,0,1,7,242,235,333,306,1,0,1,0,1,1,8,75,11,80,4,11,3,12,0,0,0,1,2007,1593
