game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2012-11-22,2012,12,Lions,Texans,31,34,Ford Field,0,0,0,dome,Houston Texans,-4.0,49.0,1,29,26,23,106,2,28,205,3,31,61,441,2,0,29,48,315,1,1,3,22,2,19,419,296,525,501,2,1,1,0,1,1,7,70,8,66,9,18,6,15,0,0,1,1,2221,2138
2012-11-22,2012,12,Cowboys,Redskins,31,38,Cowboys Stadium,0,0,0,retractable roof (closed),Dallas Cowboys,-3.5,47.5,1,22,22,11,35,0,32,149,1,37,62,441,3,2,19,27,304,4,1,2,18,3,16,423,288,458,437,1,1,0,0,3,1,7,45,5,41,8,17,6,12,1,1,0,0,1698,1902
2012-11-22,2012,12,Jets,Patriots,19,49,MetLife Stadium,46,2,72,outdoors,New England Patriots,-7.0,48.5,1,25,25,29,119,1,39,152,2,26,36,301,1,1,18,27,323,3,0,2,15,0,0,286,323,405,475,5,4,1,1,5,1,5,35,8,37,3,10,11,15,1,3,0,0,1826,1774
2012-11-25,2012,12,Bears,Vikings,28,10,Soldier Field,41,5,26,outdoors,Chicago Bears,-6.5,39.0,0,23,15,39,113,2,20,114,0,23,31,188,1,1,22,43,159,1,1,1,5,2,15,183,144,296,258,1,1,2,2,2,3,5,55,3,44,11,19,6,16,1,1,1,3,2250,1350
2012-11-25,2012,12,Browns,Steelers,20,14,FirstEnergy Stadium,34,10,65,outdoors,Pittsburgh Steelers,-2.0,33.5,1,14,13,34,108,1,20,49,1,17,26,158,1,1,20,34,199,0,3,4,28,1,6,130,193,238,242,0,0,8,5,1,8,10,90,9,68,3,16,1,9,0,0,0,0,2010,1590
2012-11-25,2012,12,Buccaneers,Falcons,23,24,Raymond James Stadium,65,7,30,outdoors,Atlanta Falcons,-1.5,51.5,0,16,20,21,50,2,24,79,2,20,31,284,0,0,26,32,353,1,1,2,8,1,8,276,345,326,424,0,0,1,1,0,2,5,24,2,15,4,10,8,13,0,0,0,0,1838,1762
2012-11-25,2012,12,Bengals,Raiders,34,10,Paul Brown Stadium,41,9,47,outdoors,Cincinnati Bengals,-8.0,51.0,0,18,14,34,221,1,23,99,0,16,30,210,3,0,19,34,146,1,1,2,16,4,27,194,119,415,218,0,0,1,1,0,2,3,25,3,25,9,17,3,12,0,0,0,2,1846,1754
2012-11-25,2012,12,Colts,Bills,20,13,Lucas Oil Stadium,0,0,0,retractable roof (closed),Indianapolis Colts,-3.0,51.5,0,22,16,29,87,0,23,135,0,20,37,240,1,1,17,33,180,1,1,4,15,2,11,225,169,312,304,2,1,0,0,2,1,6,37,4,46,8,16,4,13,0,0,0,0,1898,1702
2012-11-25,2012,12,Dolphins,Seahawks,24,21,Sun Life Stadium,72,6,51,outdoors,Seattle Seahawks,-3.0,38.0,1,23,16,28,189,2,27,96,0,18,26,253,1,1,21,27,224,2,0,1,7,2,8,246,216,435,312,0,0,0,0,1,0,2,15,10,59,4,9,7,14,0,0,0,0,1681,1919
2012-11-25,2012,12,Jaguars,Titans,24,19,TIAA Bank Stadium,60,4,0,outdoors,Tennessee Titans,-3.5,45.0,0,19,20,27,100,1,29,110,0,17,26,261,2,1,23,40,261,1,2,7,40,1,11,221,250,321,360,0,0,1,0,1,2,5,30,6,42,7,14,6,15,0,1,0,0,1763,1837
2012-11-25,2012,12,Chiefs,Broncos,9,17,Arrowhead Stadium,52,5,38,outdoors,Denver Broncos,-10.5,42.5,0,13,21,31,148,0,24,95,0,13,26,126,0,1,22,37,285,2,1,2,10,2,12,116,273,264,368,1,0,0,0,1,1,7,50,4,35,3,14,7,14,0,0,0,0,1903,1697
2012-11-25,2012,12,Chargers,Ravens,13,16,Qualcomm Stadium,59,1,82,outdoors,Baltimore Ravens,-1.0,47.0,0,16,25,23,91,0,35,127,0,23,36,228,1,0,30,51,355,1,0,6,39,5,39,189,316,280,443,0,0,1,0,0,0,5,37,6,60,3,15,12,24,1,1,1,2,2091,2342
2012-11-25,2012,12,Cardinals,Rams,17,31,State Farm Stadium,0,0,0,retractable roof (closed),Arizona Cardinals,-1.0,36.5,1,24,15,23,74,2,34,173,0,31,52,312,0,4,8,18,205,2,1,2,11,2,11,301,194,375,367,0,0,1,0,4,1,7,56,10,84,4,13,3,11,0,2,0,0,1911,1689
2012-11-25,2012,12,Saints,49ers,21,31,Mercedes-Benz Superdome,0,0,0,dome,San Francisco 49ers,-1.5,50.0,1,19,18,21,59,0,31,144,1,26,41,267,3,2,16,25,231,1,1,5,36,0,0,231,231,290,375,0,0,1,1,2,2,4,53,10,68,3,11,6,13,1,3,0,0,1794,1806
