game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2012-09-27,2012,4,Ravens,Browns,23,16,M&T Bank Stadium,77,5,64,outdoors,Baltimore Ravens,-11.5,43.5,0,23,20,27,101,1,17,43,1,28,46,356,1,1,25,52,320,0,1,4,19,1,6,337,314,438,357,0,0,1,1,1,2,11,100,7,66,5,15,3,15,0,1,0,1,1983,1617
2012-09-30,2012,4,Rams,Seahawks,19,13,The Dome at America's Center,0,0,0,dome,Seattle Seahawks,-2.5,39.0,0,15,19,27,75,0,34,179,1,17,31,223,1,1,17,25,160,0,3,2,12,2,20,211,140,286,319,0,0,0,0,1,3,6,37,5,55,5,13,2,9,1,1,0,0,1808,1792
2012-09-30,2012,4,Bills,Patriots,28,52,Ralph Wilson Stadium,58,7,72,outdoors,New England Patriots,-4.5,48.5,1,19,33,27,98,0,40,247,4,22,39,350,4,4,22,36,340,3,0,3,10,1,7,340,333,438,580,3,2,3,2,6,2,3,17,1,10,8,15,4,11,0,0,0,0,1753,1847
2012-09-30,2012,4,Lions,Vikings,13,20,Ford Field,0,0,0,dome,Detroit Lions,-4.0,48.5,0,23,15,20,55,1,28,127,0,30,51,319,0,0,16,26,111,0,0,5,33,2,11,286,100,341,227,1,1,0,0,1,0,5,72,5,87,6,16,3,12,1,3,0,0,1842,1758
2012-09-30,2012,4,Chiefs,Chargers,20,37,Arrowhead Stadium,67,0,54,outdoors,San Diego Chargers,-2.5,43.5,1,25,19,22,115,1,34,104,1,24,42,251,2,3,18,23,209,2,1,2,17,3,20,234,189,349,293,4,3,2,0,6,1,9,80,7,75,4,10,3,12,0,0,0,0,1568,2032
2012-09-30,2012,4,Falcons,Panthers,30,28,Georgia Dome,0,0,0,dome,Atlanta Falcons,-7.0,48.0,1,24,21,19,121,0,35,199,2,25,40,369,3,1,15,25,215,2,0,7,64,3,10,305,205,426,404,0,0,3,1,1,1,2,15,9,64,5,13,4,11,0,0,0,0,1794,1806
2012-09-30,2012,4,Texans,Titans,38,14,Reliant Stadium,0,0,0,retractable roof (closed),Houston Texans,-13.5,45.0,1,16,17,31,95,1,29,158,0,20,28,202,2,0,17,27,193,2,2,0,0,4,26,202,167,297,325,0,0,2,1,0,3,1,3,7,73,6,14,4,12,1,1,1,1,1946,1654
2012-09-30,2012,4,Jets,49ers,0,34,MetLife Stadium,67,4,50,outdoors,San Francisco 49ers,-4.0,41.0,0,9,26,17,45,0,44,247,3,14,30,112,0,1,12,22,143,0,0,3,12,2,9,100,134,145,381,3,3,2,0,4,0,4,30,8,67,2,13,4,12,0,0,1,1,1384,2216
2012-09-30,2012,4,Jaguars,Bengals,10,27,TIAA Bank Stadium,86,7,62,outdoors,Jacksonville Jaguars,-1.5,45.5,0,17,20,18,69,0,34,138,1,23,34,186,1,1,20,31,244,2,1,6,43,0,0,143,244,212,382,1,1,2,1,2,2,3,37,6,50,2,11,2,11,0,1,1,1,1721,1879
2012-09-30,2012,4,Broncos,Raiders,37,6,Empower Field at Mile High,72,6,26,outdoors,Denver Broncos,-6.5,47.0,0,26,12,38,165,1,16,56,0,30,39,338,3,0,19,34,202,0,0,0,0,3,21,338,181,503,237,1,1,1,0,1,0,4,30,5,41,10,16,1,12,1,2,1,2,2245,1355
2012-09-30,2012,4,Cardinals,Dolphins,24,21,State Farm Stadium,0,0,0,retractable roof (closed),Arizona Cardinals,-4.0,39.5,1,19,21,15,28,0,29,86,1,29,48,324,3,2,26,41,431,1,2,8,55,4,37,269,394,297,480,4,0,2,2,2,4,6,62,4,40,4,16,6,16,2,2,1,1,1891,2100
2012-09-30,2012,4,Buccaneers,Redskins,22,24,Raymond James Stadium,89,11,52,outdoors,Tampa Bay Buccaneers,-2.0,45.0,1,16,27,18,80,1,31,153,2,24,39,299,1,1,26,35,323,0,0,1,6,1,2,293,321,373,474,0,0,1,0,1,0,10,107,8,73,3,12,2,11,0,0,1,1,1661,1939
2012-09-30,2012,4,Packers,Saints,28,27,Lambeau Field,64,7,58,outdoors,Green Bay Packers,-7.5,54.0,1,30,25,25,102,0,19,45,0,31,41,319,4,1,35,54,446,3,0,0,0,2,17,319,429,421,474,1,1,0,0,2,0,7,43,10,72,4,8,9,17,1,1,1,1,1772,1828
2012-09-30,2012,4,Eagles,Giants,19,17,Lincoln Financial Field,63,6,59,outdoors,Philadelphia Eagles,-1.5,46.5,0,22,20,36,191,0,19,57,0,19,30,241,1,0,24,42,309,2,1,2,10,0,0,231,309,422,366,1,0,1,0,0,1,5,49,7,55,4,12,2,10,0,0,1,1,2001,1599
2012-10-01,2012,4,Cowboys,Bears,18,34,Cowboys Stadium,0,0,0,retractable roof (closed),Dallas Cowboys,-3.0,41.5,1,26,18,14,41,0,28,93,0,40,53,396,2,5,18,24,275,2,0,1,7,2,8,389,267,430,360,2,0,1,1,5,1,2,10,4,25,3,9,7,12,1,1,0,0,1750,1850
