game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
23/10/2011,Tennessee Titans,Houston Texans,7,41,13:02:00,LP Field ,00:02:46,11,29,15,53,0,47,222,2,15,31,116,1,2,18,23,296,2,0,2,21,0,0,95,296,148,518,2,0,0,0,2,0,8,76,6,68,2,10,7,13,1,1,0,2,00:22:02,00:37:58,Titans (deferred),outdoors,grass ,"69,143","72 degrees, relative humidity 35%, no wind",Tennessee Titans,-2.5,44,over
23/10/2011,Miami Dolphins,Denver Broncos,15,18,13:02:00,Sun Life Stadium ,00:03:23,15,18,31,94,0,40,177,0,22,33,197,1,0,13,27,161,2,0,4,24,6,30,173,131,267,308,2,1,2,1,1,1,2,20,5,30,3,14,4,16,0,0,0,0,00:33:19,00:34:17,Dolphins,outdoors,grass ,"63,800","77 degrees, relative humidity 57%, wind 9 mph, wind chill 0",Denver Broncos,-1,41.5,under
23/10/2011,New York Jets,San Diego Chargers,27,21,13:03:00,MetLife Stadium ,00:03:12,25,16,31,162,0,25,96,1,18,33,173,3,1,16,32,179,1,2,2,17,1,7,156,172,318,268,1,1,0,0,2,2,8,60,13,95,8,13,7,14,0,0,0,1,00:32:46,00:27:14,Chargers (deferred),outdoors,fieldturf,"79,088","58 degrees, relative humidity 46%, no wind, wind chill 0",San Diego Chargers,-1,43.5,over
23/10/2011,Tampa Bay Buccaneers,Chicago Bears,18,24,13:05:00,Wembley Stadium ,00:03:12,16,19,11,30,0,33,177,2,29,52,264,2,4,17,32,226,1,2,1,14,2,8,250,218,280,395,1,0,0,0,4,2,8,69,7,54,4,14,4,13,0,0,0,0,00:26:48,00:33:12,Bears,outdoors,grass ,"76,981","62 degrees, relative humidity 54%, wind 15 mph, wind chill 0",Chicago Bears,-2,44,under
23/10/2011,Cleveland Browns,Seattle Seahawks,6,3,13:05:00,Cleveland Browns Stadium ,00:03:08,20,9,45,139,0,16,68,0,20,35,178,0,1,12,30,97,0,1,4,19,4,28,159,69,298,137,1,0,2,1,1,2,7,48,8,68,12,24,2,12,0,0,0,1,00:42:56,00:17:04,Seahawks,outdoors,grass ,"66,350","56 degrees, relative humidity 53%, wind 7 mph, wind chill 0",Cleveland Browns,-3,41,under
23/10/2011,Detroit Lions,Atlanta Falcons,16,23,13:05:00,Ford Field ,00:03:20,13,22,20,104,0,31,129,1,15,32,183,1,0,20,35,218,1,2,3,24,3,19,159,199,263,328,2,1,0,0,1,2,10,84,11,80,1,12,7,17,1,2,0,0,00:25:03,00:34:57,Lions,dome,fieldturf ,"63,625",,Detroit Lions,-4.5,47,under
23/10/2011,Carolina Panthers,Washington Redskins,33,20,13:05:00,Bank of America Stadium ,00:03:19,20,22,37,175,2,23,92,1,18,23,256,1,0,22,37,279,1,1,4,24,3,18,232,261,407,353,1,0,2,2,0,3,13,105,3,26,5,12,5,12,0,0,0,2,00:35:30,00:24:30,Panthers,outdoors,grass ,"73,245","62 degrees, relative humidity 56%, no wind, wind chill 0",Carolina Panthers,-2.5,44.5,over
23/10/2011,Arizona Cardinals,Pittsburgh Steelers,20,32,16:05:00,University of Phoenix Stadium ,00:03:09,23,26,19,73,1,28,91,0,18,34,272,2,1,26,39,361,3,0,2,15,2,7,257,354,330,445,0,0,0,0,1,0,9,74,9,69,3,8,6,12,1,1,0,0,00:24:13,00:35:47,Cardinals,retractable roof (closed),grass ,"62,475",,Pittsburgh Steelers,-4.5,46.5,over
23/10/2011,Dallas Cowboys,St. Louis Rams,34,7,16:15:00,Cowboys Stadium ,00:03:04,24,13,34,294,2,21,70,1,14,24,166,2,0,20,33,196,0,1,2,15,1,1,151,195,445,265,1,1,2,1,1,2,6,30,4,16,3,8,5,13,0,0,0,2,00:33:56,00:26:04,Rams,retractable roof (closed),matrixturf,"80,086",,Dallas Cowboys,-14,43,under
23/10/2011,Minnesota Vikings,Green Bay Packers,27,33,16:15:00,Mall of America Field ,00:03:05,22,25,31,218,1,26,114,0,13,32,219,2,2,24,30,335,3,0,2,2,4,28,217,307,435,421,0,0,1,1,2,1,9,91,6,44,9,16,2,8,0,0,0,0,00:27:54,00:32:06,Packers (deferred),dome,sportturf,"63,946",,Green Bay Packers,-11,47,over
23/10/2011,Oakland Raiders,Kansas City Chiefs,0,28,19:05:00,O.co Coliseum ,00:03:11,18,22,27,155,0,39,139,2,15,35,177,0,6,15,30,161,0,2,1,10,0,0,167,161,322,300,2,0,0,0,6,2,14,120,10,98,4,13,7,15,0,1,0,0,00:26:23,00:33:37,Raiders (deferred),outdoors,grass ,"57,361","79 degrees, relative humidity 46%, wind 6 mph, wind chill 0",Oakland Raiders,-3.5,41.5,under
23/10/2011,New Orleans Saints,Indianapolis Colts,62,7,20:30:00,Mercedes-Benz Superdome ,00:02:48,36,11,38,236,2,23,155,1,31,35,325,5,0,12,22,102,0,1,2,4,1,5,321,97,557,252,0,0,2,2,0,3,1,10,7,49,6,8,4,11,0,0,0,0,00:38:19,00:21:41,Colts,dome,sportturf,"73,012",,New Orleans Saints,-14,49,over
24/10/2011,Jacksonville Jaguars,Baltimore Ravens,12,7,20:40:00,EverBank Field ,00:03:21,13,11,42,132,0,12,34,0,9,20,93,0,0,21,38,137,1,1,4,20,3,25,73,112,205,146,4,1,2,1,1,2,6,90,10,85,2,16,2,12,1,1,0,0,00:36:15,00:23:45,Jaguars (deferred),outdoors,grass ,"62,976","60 degrees, relative humidity 77%, no wind, wind chill 0",Baltimore Ravens,-10.5,39,under
