game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
02/10/2014,Green Bay Packers,Minnesota Vikings,42,10,20:26:00,Lambeau Field ,00:03:02,15,20,28,156,2,25,111,1,15,22,178,3,1,22,44,222,0,2,2,14,6,34,164,188,320,299,0,0,1,1,1,3,5,30,9,91,4,11,5,15,0,0,1,2,00:27:51,00:32:09,Packers,outdoors,grass ,"78,054","62 degrees, relative humidity 98%, wind 6 mph, wind chill 0",Green Bay Packers,-7.5,47.5,over
05/10/2014,Jacksonville Jaguars,Pittsburgh Steelers,9,17,13:02:00,EverBank Field ,00:02:54,12,20,15,56,0,28,111,0,22,36,191,0,2,26,36,273,1,0,1,4,4,12,187,261,243,372,3,0,1,1,2,1,4,34,7,50,3,12,8,16,1,1,0,0,00:24:43,00:35:17,Steelers,outdoors,grass ,"66,198","71 degrees, relative humidity 30%, wind 10 mph, wind chill 0",Pittsburgh Steelers,-6,47.5,under
05/10/2014,Philadelphia Eagles,St. Louis Rams,34,28,13:02:00,Lincoln Financial Field ,00:03:13,22,29,33,145,0,23,125,1,24,37,207,2,1,29,49,375,3,0,0,0,4,34,207,341,352,466,2,2,3,3,3,3,4,39,10,82,8,15,7,14,0,0,0,1,00:27:01,00:32:59,Rams,outdoors,grass ,"69,596","59 degrees, relative humidity 37%, wind 16 mph",Philadelphia Eagles,-6.5,47.5,over
05/10/2014,Tennessee Titans,Cleveland Browns,28,29,13:02:00,LP Field ,00:03:23,22,27,30,149,1,36,176,0,21,32,273,3,0,21,37,291,3,1,3,12,1,7,261,284,410,460,0,0,0,0,0,1,7,68,7,74,8,14,4,12,0,1,0,2,00:30:43,00:29:17,Titans,outdoors,grass ,"69,143","67 degrees, relative humidity 31%, wind 13 mph",Tennessee Titans,-1,44,over
05/10/2014,Detroit Lions,Buffalo Bills,14,17,13:03:00,Ford Field ,00:03:24,13,19,20,69,0,22,49,0,18,31,231,1,1,30,43,308,1,1,6,27,2,14,204,294,273,343,3,1,3,0,2,1,8,62,11,74,1,11,5,16,0,0,0,0,00:27:41,00:32:19,Bills,dome,fieldturf ,"62,775",,Detroit Lions,-6.5,43,under
05/10/2014,Dallas Cowboys,Houston Texans,20,17,13:03:00,AT&T Stadium ,00:03:11,24,15,33,140,0,31,176,2,28,41,324,2,1,16,25,154,0,1,1,8,0,0,316,154,456,330,2,2,0,0,3,1,7,56,5,35,8,14,4,13,0,0,1,1,00:36:07,00:31:08,Texans,retractable roof (closed),matrixturf,"91,159",,Dallas Cowboys,-6.5,47,under
05/10/2014,New Orleans Saints,Tampa Bay Buccaneers,37,31,13:03:00,Mercedes-Benz Superdome ,00:03:29,34,20,29,140,2,21,66,1,35,57,371,2,3,19,32,249,2,1,0,0,1,1,371,248,511,314,0,0,2,0,3,1,6,50,15,113,6,13,3,9,0,0,0,0,00:38:32,00:27:04,Saints,dome,sportturf,"73,004",,New Orleans Saints,-10,48,over
05/10/2014,Indianapolis Colts,Baltimore Ravens,20,13,13:03:00,Lucas Oil Stadium ,00:03:08,26,15,30,127,1,15,90,1,32,49,312,1,2,22,38,235,0,1,1,7,4,38,305,197,432,287,4,2,2,2,4,3,6,83,5,36,7,15,1,11,0,1,1,3,00:38:43,00:21:17,Ravens (deferred),retractable roof (open),fieldturf ,"65,258",,Indianapolis Colts,-3,49,under
05/10/2014,Carolina Panthers,Chicago Bears,31,24,13:03:00,Bank of America Stadium ,00:03:10,22,17,26,91,1,22,85,1,19,35,255,2,1,28,36,289,2,2,2,24,4,27,231,262,322,347,3,2,3,2,3,4,3,30,10,79,5,12,5,13,0,0,0,1,00:27:01,00:32:59,Bears (deferred),outdoors,grass ,"73,659","60 degrees, relative humidity 36%, wind 7 mph, wind chill 0",Carolina Panthers,-2.5,45.5,over
05/10/2014,New York Giants,Atlanta Falcons,30,20,13:03:00,MetLife Stadium ,00:03:03,22,20,34,124,1,21,90,1,19,30,200,2,0,29,45,316,1,1,1,7,1,9,193,307,317,397,2,2,1,0,2,1,3,15,8,81,9,15,2,13,0,0,1,2,00:31:41,00:28:19,Giants,outdoors,fieldturf,"80,307","55 degrees, relative humidity 45%, wind 9 mph, wind chill 0",New York Giants,-4,50,push
05/10/2014,Denver Broncos,Arizona Cardinals,41,20,16:05:00,Sports Authority Field at Mile High ,00:03:16,24,9,28,92,1,19,37,1,31,47,479,4,2,12,34,199,1,0,1,3,3,21,476,178,568,215,0,0,1,0,2,0,7,67,3,15,7,16,3,16,0,0,0,0,00:35:17,00:24:43,Broncos (deferred),outdoors,grass ,"76,895","71 degrees, relative humidity 20%, wind 10 mph, wind chill 0",Denver Broncos,-7.5,48,over
05/10/2014,San Diego Chargers,New York Jets,31,0,16:25:00,Qualcomm Stadium ,00:03:11,21,11,40,162,1,21,91,0,20,28,288,3,1,12,31,74,0,1,3,11,2,14,277,60,439,151,0,0,1,1,1,2,5,76,12,94,12,18,1,12,0,0,0,1,00:38:54,00:21:06,Chargers (deferred),outdoors,grass ,"63,471","91 degrees, relative humidity 11%, wind 8 mph, wind chill 0",San Diego Chargers,-6.5,43.5,under
05/10/2014,San Francisco 49ers,Kansas City Chiefs,22,17,16:25:00,Levi's Stadium ,00:02:55,22,14,40,171,0,20,107,1,14,27,201,1,0,16,30,158,1,1,3,15,0,0,186,158,357,265,1,0,1,0,0,1,2,10,4,29,6,16,6,11,1,1,0,0,00:36:04,00:23:56,49ers (deferred),outdoors,grass ,"70,799","85 degrees, relative humidity 28%, wind 1 mph, wind chill 0",San Francisco 49ers,-5,44,under
05/10/2014,New England Patriots,Cincinnati Bengals,43,17,20:43:00,Gillette Stadium ,00:03:00,30,17,46,220,1,18,79,0,23,35,292,2,0,18,29,249,2,0,1,7,1,8,285,241,505,320,1,0,3,3,0,3,12,114,4,37,6,16,0,7,1,1,0,1,00:38:56,00:21:04,Bengals (deferred),outdoors,fieldturf ,"68,756","47 degrees, relative humidity 71%, wind 2 mph, wind chill 0",Pi,k,46,over
06/10/2014,Washington Redskins,Seattle Seahawks,17,27,20:30:00,FedExField ,00:03:10,14,20,17,32,0,36,225,1,21,36,283,2,0,18,24,201,2,0,1,8,3,23,275,178,307,403,1,0,2,0,0,0,3,30,13,90,3,12,5,14,0,0,1,1,00:25:04,00:34:56,Redskins (deferred),outdoors,grass ,"79,522","67 degrees, relative humidity 47%, wind 4 mph, wind chill 0",Seattle Seahawks,-7,45.5,under
