game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
03/01/2021,New England Patriots,New York Jets,28,14,13:00:00,Gillette Stadium ,00:03:01,23,21,29,166,0,25,111,1,22,31,261,4,0,23,34,266,1,2,3,23,3,27,238,239,404,350,2,0,0,0,0,2,6,47,3,30,6,12,3,10,0,0,1,1,00:26:28,00:33:32,Jets (deferred),outdoors,grass,0,"33 degrees, relative humidity 75%, wind 5 mph, wind chill 0",New England Patriots,-3,41,over
03/01/2021,Detroit Lions,Minnesota Vikings,35,37,13:00:00,Ford Field ,00:03:07,21,31,22,129,2,31,125,2,20,31,293,3,1,28,40,405,3,0,1,5,3,22,288,383,417,508,1,1,2,0,2,0,7,51,4,35,5,10,4,13,1,1,2,2,00:24:47,00:35:13,Vikings,dome,fieldturf,0,,Minnesota Vikings,-3,53.5,over
03/01/2021,New York Giants,Dallas Cowboys,23,19,13:00:00,MetLife Stadium ,00:03:15,22,26,28,125,1,27,108,1,17,25,229,2,1,29,47,244,0,1,2,18,6,45,211,199,336,307,2,1,0,0,2,1,6,45,6,58,0,7,6,17,0,0,1,1,00:27:27,00:32:33,Cowboys (deferred),outdoors,fieldturf ,0,"33 degrees, relative humidity 85%, wind 6 mph, wind chill 0",Dallas Cowboys,-1.5,44.5,under
03/01/2021,Buffalo Bills,Miami Dolphins,56,26,13:00:00,Bills Stadium ,00:03:13,24,27,25,78,2,20,70,2,24,38,388,4,2,36,59,393,1,3,1,11,1,9,377,384,455,454,0,0,2,1,2,4,3,16,2,20,4,10,3,14,0,0,1,2,00:27:22,00:32:38,Dolphins (deferred),outdoors,astroturf,0,"35 degrees, relative humidity 93%, wind 1 mph, wind chill 0",Miami Dolphins,-3.5,43,over
03/01/2021,Cincinnati Bengals,Baltimore Ravens,3,38,13:00:00,Paul Brown Stadium ,00:02:55,10,24,19,147,0,54,404,2,6,21,48,0,2,11,19,121,3,1,0,0,0,0,48,121,195,525,0,0,0,0,2,1,3,29,6,49,1,9,11,17,0,0,1,2,00:19:29,00:40:31,Bengals (deferred),outdoors,grass,"10,499","39 degrees, relative humidity 79%, wind 10 mph, wind chill 0",Baltimore Ravens,-13.5,46,under
03/01/2021,Cleveland Browns,Pittsburgh Steelers,24,22,13:00:00,FirstEnergy Stadium ,00:03:02,21,18,31,192,2,20,85,0,17,27,196,1,0,26,44,317,2,1,4,30,1,8,166,309,358,394,0,0,0,0,0,1,4,19,2,15,6,12,8,17,0,2,2,2,00:32:10,00:27:50,Browns (deferred),outdoors,grass,"11,989","38 degrees, relative humidity 91%, wind 7 mph, wind chill 0",Cleveland Browns,-10.5,44.5,over
03/01/2021,Tampa Bay Buccaneers,Atlanta Falcons,44,27,13:00:00,Raymond James Stadium ,00:03:05,28,25,22,94,1,26,127,1,26,41,399,4,1,29,44,265,2,0,1,8,1,7,391,258,485,385,0,0,4,2,1,2,3,23,4,48,6,11,7,14,0,0,2,3,00:26:48,00:33:12,Buccaneers,outdoors,grass,"16,009","65 degrees, relative humidity 77%, wind 4 mph, wind chill 0",Tampa Bay Buccaneers,-7.5,51.5,over
03/01/2021,Chicago Bears,Green Bay Packers,16,35,16:25:00,Soldier Field ,00:02:54,21,17,31,108,1,19,79,1,33,42,252,0,1,19,24,240,4,0,1,4,1,3,248,237,356,316,1,1,1,1,2,1,1,16,4,30,6,15,4,7,5,6,0,0,00:35:28,00:24:32,Packers (deferred),outdoors,grass,0,"32 degrees, relative humidity 85%, wind 7 mph, wind chill 0",Green Bay Packers,-4.5,48,over
03/01/2021,Denver Broncos,Las Vegas Raiders,31,32,16:25:00,Empower Field at Mile High ,00:03:29,24,22,32,122,1,23,106,2,25,41,339,2,0,24,38,371,2,2,2,15,3,12,324,359,446,465,1,0,2,2,0,4,4,28,14,111,7,16,5,13,0,1,2,2,00:33:20,00:26:40,Broncos (deferred),outdoors,grass,0,"53 degrees, relative humidity 19%, wind 10 mph, wind chill 0",Las Vegas Raiders,-2.5,50.5,over
03/01/2021,Carolina Panthers,New Orleans Saints,7,33,16:25:00,Bank of America Stadium ,00:02:52,17,20,20,74,1,30,156,1,18,37,271,0,5,22,32,201,3,0,3,25,2,10,246,191,320,347,2,0,2,0,5,0,1,5,4,31,1,9,6,14,2,4,1,1,00:29:06,00:30:54,Saints (deferred),outdoors,grass,"1,500","57 degrees, relative humidity 80%, wind 2 mph, wind chill 0",New Orleans Saints,-6,47,under
