game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
05/01/2019,Houston Texans,Indianapolis Colts,7,21,16:35:00,NRG Stadium ,00:02:58,20,26,16,105,0,35,200,1,29,49,235,1,1,19,32,222,2,1,3,18,0,0,217,222,322,422,0,0,0,0,1,1,8,67,2,10,3,13,9,14,2,5,0,0,00:28:46,00:31:14,Texans (deferred),retractable roof (closed),astroturf,"71,798",,Houston Texans,-2,48.5,under
05/01/2019,Dallas Cowboys,Seattle Seahawks,24,22,20:15:00,AT&T Stadium ,00:03:11,23,11,34,164,2,24,73,1,22,33,226,1,1,18,27,233,1,0,1,10,1,7,216,226,380,299,0,0,0,0,1,0,6,36,5,36,4,11,2,13,0,0,2,2,00:34:50,00:25:10,Seahawks (deferred),retractable roof (closed),matrixturf,"94,327",,Dallas Cowboys,-2.5,43,over
06/01/2019,Baltimore Ravens,Los Angeles Chargers,17,23,13:05:00,M&T Bank Stadium ,00:03:17,11,14,23,90,0,33,89,1,14,29,194,2,1,22,32,160,0,0,7,55,1,6,139,154,229,243,4,2,1,1,3,1,7,41,5,35,5,15,6,17,2,2,1,1,00:26:20,00:33:40,Chargers (deferred),outdoors,grass,"70,432","52 degrees, wind 12 mph",Baltimore Ravens,-3,43,under
06/01/2019,Chicago Bears,Philadelphia Eagles,15,16,16:40:00,Soldier Field ,00:03:09,17,21,18,65,0,23,42,0,26,43,303,1,0,25,40,266,2,2,2,12,1,8,291,258,356,300,0,0,0,0,0,2,3,52,3,25,5,16,6,13,0,0,1,1,00:29:12,00:30:48,Bears (deferred),outdoors,grass ,"62,462","39 degrees, wind 12 mph",Chicago Bears,-6.5,41.5,under
