game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
21/09/2017,San Francisco 49ers,Los Angeles Rams,39,41,20:25:00,Levi's Stadium ,00:03:24,25,26,33,113,3,32,126,2,23,37,332,2,1,22,28,292,3,0,4,24,0,0,308,292,421,418,1,1,3,2,2,2,10,55,7,52,9,18,8,12,2,3,0,0,00:30:17,00:29:43,Rams (deferred),outdoors,grass,"70,178","68 degrees, wind 13 mph",Los Angeles Rams,-3,40.5,over
24/09/2017,Jacksonville Jaguars,Baltimore Ravens,44,7,09:30:00,Wembley Stadium ,00:02:49,24,12,35,166,1,25,134,0,20,33,244,4,0,14,27,64,1,2,0,0,2,12,244,52,410,186,0,0,1,1,0,3,9,70,10,88,3,12,3,11,2,2,0,1,00:34:03,00:25:57,Jaguars (deferred),outdoors,grass ,"84,592","70 degrees, wind 10 mph",Baltimore Ravens,-3,38,over
24/09/2017,Chicago Bears,Pittsburgh Steelers,23,17,13:00:00,Soldier Field ,00:03:21,18,19,38,222,2,17,70,1,15,22,101,1,1,22,39,235,1,0,2,17,3,23,84,212,306,282,5,1,2,2,2,2,10,73,6,40,4,12,4,11,0,0,0,0,00:33:59,00:27:34,Bears (deferred),outdoors,grass ,"61,172","89 degrees, wind 5 mph",Pittsburgh Steelers,-7,43.5,under
24/09/2017,Minnesota Vikings,Tampa Bay Buccaneers,34,17,13:00:00,U.S. Bank Stadium ,00:03:01,25,20,37,125,1,9,26,0,25,33,369,3,0,28,40,328,2,3,0,0,2,12,369,316,494,342,0,0,2,0,0,3,5,53,7,37,7,13,1,6,0,0,0,0,00:37:46,00:22:14,Buccaneers (deferred),dome,sportturf,"66,390",,Pi,k,41,over
24/09/2017,New York Jets,Miami Dolphins,20,6,13:00:00,MetLife Stadium ,00:02:58,16,16,34,103,1,15,30,0,18,23,249,1,0,26,45,220,1,2,2,16,3,25,233,195,336,225,3,1,1,0,1,2,10,94,8,51,4,13,1,12,0,0,0,3,00:36:08,00:23:52,Jets,outdoors,fieldturf ,"77,562","88 degrees, wind 5 mph",Miami Dolphins,-5.5,43,under
24/09/2017,Detroit Lions,Atlanta Falcons,26,30,13:00:00,Ford Field ,00:03:22,21,26,19,71,0,28,151,1,25,45,264,1,0,24,35,294,2,3,2,11,2,17,253,277,324,428,0,0,0,0,0,3,9,98,8,68,3,13,4,9,0,0,0,0,00:27:25,00:32:35,Lions (deferred),dome,fieldturf ,"63,240",,Atlanta Falcons,-3,51,over
24/09/2017,Philadelphia Eagles,New York Giants,27,24,13:00:00,Lincoln Financial Field ,00:03:24,24,21,39,193,2,17,49,0,21,31,176,1,0,35,47,366,3,2,3,15,0,0,161,366,354,415,1,1,0,0,1,2,9,103,10,137,5,14,3,10,2,3,0,2,00:37:32,00:22:28,Giants (deferred),outdoors,grass ,"69,596","89 degrees, wind 6 mph",Philadelphia Eagles,-5,43,over
24/09/2017,Carolina Panthers,New Orleans Saints,13,34,13:00:00,Bank of America Stadium ,00:02:52,18,21,22,132,1,27,149,1,19,33,184,0,3,22,29,220,3,0,4,28,1,7,156,213,288,362,2,0,0,0,3,0,1,5,1,10,7,14,6,12,0,0,0,0,00:28:51,00:31:09,Saints (deferred),outdoors,grass ,"73,775","82 degrees, wind 6 mph",Carolina Panthers,-5,46.5,over
24/09/2017,Indianapolis Colts,Cleveland Browns,31,28,13:00:00,Lucas Oil Stadium ,00:03:18,16,25,36,92,3,21,111,2,17,24,259,1,0,22,47,242,2,3,3,16,1,7,243,235,335,346,1,1,1,0,1,3,11,99,10,113,8,17,5,13,0,0,0,0,00:33:27,00:26:33,Colts (deferred),retractable roof (closed),fieldturf ,"63,351",,Cleveland Browns,-1,42,over
24/09/2017,New England Patriots,Houston Texans,36,33,13:00:00,Gillette Stadium ,00:03:19,21,23,20,59,0,32,125,0,25,35,378,5,0,22,33,301,2,2,5,41,2,9,337,292,396,417,4,1,2,0,1,2,5,69,10,60,6,13,6,14,0,0,0,0,00:26:22,00:33:38,Patriots (deferred),outdoors,fieldturf ,"65,878","84 degrees, wind 4 mph",New England Patriots,-13.5,44.5,over
24/09/2017,Buffalo Bills,Denver Broncos,26,16,13:00:00,New Era Field ,00:03:03,16,21,33,75,0,23,111,1,20,26,213,2,0,24,40,259,0,2,4,16,3,4,197,255,272,366,0,0,1,0,0,2,8,69,10,79,6,16,6,14,0,0,0,2,00:30:26,00:29:34,Bills (deferred),outdoors,a_turf,"68,865","83 degrees, wind 5 mph",Denver Broncos,-3.5,40,over
24/09/2017,Tennessee Titans,Seattle Seahawks,33,27,16:05:00,Nissan Stadium ,00:03:19,21,24,35,195,1,22,69,0,20,32,225,2,0,29,49,373,4,0,0,0,1,9,225,364,420,433,0,0,3,0,0,0,5,45,11,98,4,14,4,14,0,0,1,2,00:32:41,00:27:19,Seahawks (deferred),outdoors,grass ,"69,127","88 degrees, wind 4 mph",Tennessee Titans,-2,42,over
24/09/2017,Green Bay Packers,Cincinnati Bengals,27,24,16:25:00,Lambeau Field ,00:03:18,22,21,17,64,0,30,110,0,28,42,313,3,1,21,27,212,2,0,6,33,3,21,280,191,344,301,0,0,1,1,1,1,4,33,7,68,7,15,4,12,0,0,0,0,00:29:21,00:34:17,Packers (deferred),outdoors,grass ,"78,323","89 degrees, wind 8 mph",Green Bay Packers,-7,47.5,over
24/09/2017,Los Angeles Chargers,Kansas City Chiefs,10,24,16:25:00,StubHub Center ,00:03:08,24,16,26,104,1,25,189,1,20,40,237,0,3,16,21,155,2,0,2,11,5,33,226,122,330,311,0,0,2,0,3,0,8,61,13,122,5,13,4,12,0,0,0,1,00:29:34,00:30:26,Chargers,outdoors,grass,"25,386","84 degrees, wind 5 mph",Kansas City Chiefs,-3,47.5,under
24/09/2017,Washington Redskins,Oakland Raiders,27,10,20:30:00,FedExField ,00:03:00,18,7,34,116,0,13,32,0,25,30,365,3,0,19,31,118,1,2,1,9,4,22,356,96,472,128,2,2,1,1,2,3,10,77,4,35,7,15,0,11,0,0,1,2,00:38:06,00:21:54,Raiders,outdoors,grass ,"77,123","76 degrees, no wind",Oakland Raiders,-3.5,53.5,under
25/09/2017,Arizona Cardinals,Dallas Cowboys,17,28,20:30:00,University of Phoenix Stadium ,00:03:16,22,15,21,49,0,26,99,2,29,48,325,2,0,13,18,183,2,0,6,42,1,9,283,174,332,273,0,0,0,0,0,0,6,50,9,76,8,18,2,9,0,1,0,0,00:36:15,00:23:45,Cardinals,retractable roof (closed),grass ,"65,102",,Dallas Cowboys,-3,46.5,under
