game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2019-12-12,2019,15,Ravens,Jets,42,21,M&T Bank Stadium,33,3,55,outdoors,-17.0,44.0,1,0,0,2,2,172,0.078,0.014,0.026,0.016,0.035,0.048,0.076,0.017,0.013,0.036,0.031,0.04,0.04,0.03,0.025,0.042,0.03,0.024,0.041,0.039,0.038,0.025,0.035,0.03,0.035,0.035,0.038,0.047,0.019,0.011,0.069,0.017,0.022,0.028,1
2019-12-15,2019,15,Redskins,Eagles,27,37,FedExField,52,13,44,outdoors,-7.0,38.0,1,1,0,0,2,114,0.011,0.021,0.011,0.023,0.05,0.037,0.022,0.034,0.049,0.017,0.02,0.032,0.023,0.022,0.039,0.033,0.021,0.03,0.024,0.024,0.017,0.042,0.019,0.038,0.042,0.028,0.032,0.055,0.036,0.026,0.014,0.057,0.05,0.022,0
2019-12-15,2019,15,Titans,Texans,21,24,Nissan Stadium,45,4,71,outdoors,-3.0,50.0,0,1,0,0,0,671,0.055,0.037,0.017,0.034,0.04,0.039,0.043,0.04,0.021,0.021,0.025,0.021,0.037,0.033,0.041,0.048,0.023,0.019,0.028,0.031,0.038,0.031,0.031,0.028,0.036,0.039,0.026,0.052,0.039,0.031,0.019,0.029,0.041,0.029,0
2019-12-15,2019,15,Packers,Bears,21,13,Lambeau Field,11,7,70,outdoors,-4.0,40.0,0,1,0,0,1,184,0.036,0.029,0.045,0.03,0.025,0.043,0.017,0.03,0.035,0.025,0.035,0.029,0.049,0.041,0.027,0.042,0.027,0.035,0.029,0.016,0.041,0.028,0.035,0.032,0.032,0.036,0.023,0.024,0.032,0.049,0.036,0.037,0.028,0.023,1
2019-12-15,2019,15,Panthers,Seahawks,24,30,Bank of America Stadium,56,5,45,outdoors,-6.0,48.5,1,0,0,0,0,2280,0.034,0.033,0.038,0.029,0.034,0.033,0.038,0.049,0.041,0.019,0.051,0.016,0.031,0.041,0.031,0.029,0.023,0.016,0.02,0.036,0.035,0.026,0.029,0.038,0.031,0.022,0.036,0.025,0.017,0.041,0.024,0.036,0.035,0.036,0
2019-12-15,2019,15,Bengals,Patriots,13,34,Paul Brown Stadium,36,6,58,outdoors,-10.5,42.0,1,0,0,0,0,725,0.017,0.05,0.018,0.039,0.036,0.023,0.029,0.031,0.057,0.031,0.036,0.014,0.018,0.049,0.035,0.019,0.02,0.046,0.026,0.031,0.038,0.035,0.032,0.045,0.036,0.021,0.041,0.024,0.011,0.025,0.033,0.049,0.044,0.027,0
2019-12-15,2019,15,Chiefs,Broncos,23,3,Arrowhead Stadium,24,8,88,outdoors,-10.0,43.0,0,1,0,0,0,564,0.058,0.024,0.047,0.031,0.016,0.031,0.018,0.036,0.037,0.038,0.014,0.02,0.036,0.032,0.013,0.034,0.053,0.038,0.063,0.032,0.033,0.036,0.028,0.023,0.042,0.038,0.016,0.026,0.055,0.028,0.031,0.025,0.041,0.036,1
2019-12-15,2019,15,Lions,Buccaneers,17,38,Ford Field,0,0,0,dome,-5.5,46.0,1,0,1,0,0,993,0.018,0.027,0.029,0.045,0.038,0.019,0.018,0.025,0.033,0.018,0.035,0.072,0.031,0.034,0.032,0.026,0.025,0.022,0.032,0.025,0.026,0.033,0.033,0.038,0.024,0.027,0.017,0.024,0.028,0.035,0.024,0.033,0.031,0.016,0
2019-12-15,2019,15,Giants,Dolphins,36,20,MetLife Stadium,48,19,42,outdoors,-3.5,47.0,1,0,0,2,0,1086,0.009,0.012,0.018,0.018,0.032,0.043,0.022,0.009,0.034,0.049,0.048,0.036,0.022,0.025,0.047,0.054,0.027,0.009,0.025,0.021,0.03,0.038,0.024,0.04,0.025,0.027,0.059,0.053,0.022,0.017,0.014,0.016,0.036,0.035,1
2019-12-15,2019,15,Chargers,Vikings,10,39,Dignity Health Sports Park,64,14,28,outdoors,-1.0,45.0,1,0,0,0,0,1530,0.029,0.029,0.059,0.028,0.015,0.02,0.022,0.032,0.036,0.031,0.029,0.021,0.022,0.036,0.029,0.022,0.025,0.042,0.026,0.028,0.029,0.026,0.024,0.024,0.033,0.033,0.023,0.015,0.032,0.037,0.037,0.031,0.028,0.038,0
2019-12-15,2019,15,Raiders,Jaguars,16,20,Oakland Coliseum,59,7,52,outdoors,-7.0,47.0,0,0,0,0,0,2352,0.014,0.021,0.027,0.031,0.045,0.037,0.026,0.024,0.032,0.043,0.026,0.043,0.02,0.026,0.043,0.05,0.018,0.026,0.056,0.051,0.022,0.025,0.023,0.045,0.023,0.025,0.032,0.043,0.026,0.016,0.03,0.033,0.023,0.037,0
2019-12-15,2019,15,Cardinals,Browns,38,24,State Farm Stadium,0,0,0,retractable roof (closed),-3.0,49.0,1,0,1,0,0,1753,0.013,0.035,0.013,0.022,0.039,0.026,0.028,0.028,0.044,0.034,0.027,0.04,0.023,0.041,0.03,0.024,0.021,0.034,0.023,0.038,0.022,0.041,0.033,0.025,0.041,0.029,0.025,0.027,0.036,0.027,0.012,0.021,0.051,0.03,1
2019-12-15,2019,15,49ers,Falcons,22,29,Levi's Stadium,55,6,58,outdoors,-10.5,50.0,1,0,0,0,0,2112,0.047,0.03,0.048,0.045,0.019,0.018,0.037,0.024,0.021,0.036,0.039,0.027,0.032,0.018,0.019,0.044,0.046,0.039,0.035,0.024,0.029,0.039,0.035,0.034,0.042,0.023,0.018,0.03,0.065,0.034,0.032,0.032,0.025,0.019,0
