game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2016-12-01,2016,13,Vikings,Cowboys,15,17,U.S. Bank Stadium,0,0,0,dome,-3,43.5,0,0,1,0,0,869,0.042,0.032,0.029,0.02,0.031,0.032,0.022,0.048,0.043,0.013,0.024,0.027,0.04,0.019,0.04,0.019,0.045,0.03,0.025,0.024,0.033,0.02,0.029,0.025,0.029,0.035,0.043,0.023,0.039,0.02,0.033,0.033,0.025,0.019,0
2016-12-04,2016,13,Bears,49ers,26,6,Soldier Field,33,5,0,outdoors,k,44.0,0,0,0,0,0,1841,0.013,0.013,0.03,0.021,0.022,0.045,0.018,0.02,0.031,0.046,0.046,0.036,0.019,0.026,0.021,0.052,0.028,0.018,0.023,0.027,0.037,0.027,0.029,0.017,0.034,0.022,0.034,0.046,0.03,0.016,0.025,0.01,0.031,0.056,1
2016-12-04,2016,13,Falcons,Chiefs,28,29,Georgia Dome,0,0,0,dome,-5,50.0,1,0,1,0,0,688,0.048,0.056,0.039,0.029,0.016,0.036,0.043,0.026,0.029,0.038,0.019,0.02,0.032,0.058,0.027,0.029,0.023,0.028,0.037,0.033,0.03,0.029,0.029,0.026,0.03,0.034,0.029,0.02,0.046,0.046,0.046,0.042,0.023,0.023,0
2016-12-04,2016,13,Saints,Lions,13,28,Mercedes-Benz Superdome,0,0,0,dome,-6.5,53.0,0,0,1,0,1,941,0.022,0.02,0.046,0.037,0.026,0.027,0.033,0.012,0.036,0.043,0.025,0.038,0.03,0.028,0.02,0.031,0.032,0.023,0.039,0.027,0.022,0.029,0.05,0.026,0.022,0.026,0.03,0.029,0.02,0.018,0.045,0.031,0.033,0.028,0
2016-12-04,2016,13,Jaguars,Broncos,10,20,TIAA Bank Stadium,70,10,0,outdoors,-3.5,38.5,0,0,0,0,0,1462,0.013,0.042,0.036,0.043,0.032,0.018,0.024,0.027,0.034,0.042,0.053,0.024,0.017,0.042,0.031,0.027,0.019,0.043,0.034,0.044,0.027,0.037,0.032,0.053,0.034,0.037,0.026,0.018,0.018,0.035,0.017,0.037,0.032,0.034,0
2016-12-04,2016,13,Packers,Texans,21,13,Lambeau Field,32,8,0,outdoors,-6.5,44.5,0,0,0,2,0,1100,0.047,0.029,0.031,0.032,0.029,0.028,0.03,0.031,0.028,0.027,0.032,0.032,0.036,0.024,0.034,0.025,0.049,0.029,0.026,0.034,0.051,0.047,0.029,0.046,0.034,0.017,0.038,0.036,0.039,0.021,0.03,0.046,0.023,0.026,1
2016-12-04,2016,13,Ravens,Dolphins,38,6,M&T Bank Stadium,47,3,0,outdoors,-3.5,41.5,1,0,0,0,0,944,0.018,0.026,0.033,0.036,0.024,0.04,0.019,0.045,0.022,0.048,0.034,0.036,0.026,0.028,0.023,0.048,0.025,0.031,0.048,0.042,0.017,0.023,0.034,0.013,0.026,0.038,0.033,0.031,0.021,0.032,0.025,0.019,0.023,0.044,1
2016-12-04,2016,13,Patriots,Rams,26,10,Gillette Stadium,39,8,0,outdoors,-13,44.5,0,0,0,0,0,2585,0.066,0.015,0.049,0.015,0.027,0.051,0.03,0.019,0.022,0.034,0.019,0.032,0.034,0.028,0.024,0.035,0.033,0.03,0.029,0.034,0.032,0.018,0.034,0.017,0.04,0.033,0.041,0.027,0.048,0.025,0.033,0.019,0.031,0.047,1
2016-12-04,2016,13,Bengals,Eagles,32,14,Paul Brown Stadium,42,10,0,outdoors,-2,42.0,1,0,0,0,2,501,0.031,0.039,0.033,0.028,0.028,0.038,0.021,0.038,0.02,0.027,0.017,0.024,0.028,0.026,0.033,0.026,0.026,0.045,0.022,0.027,0.035,0.031,0.023,0.041,0.037,0.036,0.016,0.046,0.029,0.032,0.021,0.039,0.027,0.035,1
2016-12-04,2016,13,Raiders,Bills,38,24,Oakland-Alameda County Coliseum,59,4,0,outdoors,-3,48.5,1,0,0,0,0,2289,0.026,0.037,0.025,0.017,0.026,0.048,0.027,0.065,0.04,0.029,0.016,0.025,0.039,0.034,0.022,0.039,0.029,0.025,0.047,0.049,0.031,0.022,0.045,0.029,0.027,0.027,0.027,0.038,0.039,0.035,0.049,0.03,0.029,0.051,1
