game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2012-09-13,2012,2,Packers,Bears,23,10,Lambeau Field,60,0,67,outdoors,-5.5,51.0,0,1,0,2,2,184,0.047,0.029,0.034,0.014,0.027,0.042,0.022,0.04,0.023,0.016,0.012,0.026,0.05,0.044,0.042,0.043,0.027,0.022,0.02,0.027,0.046,0.017,0.026,0.029,0.032,0.036,0.011,0.021,0.032,0.035,0.03,0.036,0.028,0.025,1
2012-09-16,2012,2,Dolphins,Raiders,35,13,Sun Life Stadium,80,8,75,outdoors,-2.0,41.0,1,0,0,0,2,2570,0.014,0.011,0.014,0.034,0.044,0.034,0.033,0.039,0.033,0.042,0.041,0.051,0.012,0.021,0.029,0.02,0.025,0.031,0.017,0.037,0.047,0.025,0.016,0.031,0.039,0.036,0.031,0.035,0.035,0.026,0.018,0.026,0.039,0.033,1
2012-09-16,2012,2,Bengals,Browns,34,27,Paul Brown Stadium,76,5,37,outdoors,-7.0,39.5,1,1,0,2,0,223,0.032,0.01,0.041,0.034,0.031,0.031,0.029,0.019,0.028,0.045,0.03,0.025,0.032,0.017,0.025,0.029,0.045,0.027,0.029,0.034,0.028,0.032,0.03,0.034,0.029,0.033,0.043,0.031,0.027,0.02,0.025,0.024,0.014,0.046,1
2012-09-16,2012,2,Patriots,Cardinals,18,20,Gillette Stadium,64,2,55,outdoors,-13.5,47.0,0,0,0,0,0,2291,0.05,0.02,0.032,0.032,0.025,0.041,0.038,0.012,0.018,0.045,0.019,0.025,0.037,0.025,0.028,0.046,0.046,0.02,0.023,0.033,0.044,0.021,0.027,0.022,0.035,0.035,0.016,0.061,0.061,0.028,0.02,0.017,0.034,0.039,0
2012-09-16,2012,2,Bills,Chiefs,35,17,Ralph Wilson Stadium,66,11,55,outdoors,-3.0,45.0,1,0,0,0,0,858,0.02,0.012,0.017,0.015,0.035,0.036,0.026,0.025,0.036,0.028,0.05,0.056,0.02,0.014,0.023,0.035,0.032,0.022,0.023,0.03,0.028,0.02,0.021,0.039,0.032,0.024,0.026,0.041,0.028,0.02,0.022,0.032,0.019,0.034,1
2012-09-16,2012,2,Panthers,Saints,35,27,Bank of America Stadium,71,4,85,outdoors,-3.0,54.0,1,1,0,0,0,649,0.025,0.046,0.033,0.056,0.021,0.016,0.035,0.034,0.034,0.041,0.024,0.029,0.029,0.032,0.033,0.023,0.029,0.033,0.047,0.036,0.027,0.047,0.033,0.034,0.031,0.032,0.019,0.027,0.026,0.04,0.045,0.038,0.038,0.032,1
2012-09-16,2012,2,Jaguars,Texans,7,27,TIAA Bank Stadium,83,5,66,outdoors,-7.0,40.0,0,1,0,0,0,817,0.01,0.045,0.02,0.031,0.045,0.026,0.016,0.042,0.039,0.015,0.023,0.028,0.022,0.043,0.045,0.029,0.014,0.047,0.019,0.031,0.04,0.046,0.039,0.044,0.023,0.025,0.045,0.017,0.017,0.04,0.021,0.046,0.035,0.019,0
2012-09-16,2012,2,Eagles,Ravens,24,23,Lincoln Financial Field,72,5,40,outdoors,-3.0,47.0,0,0,0,0,2,89,0.022,0.071,0.052,0.035,0.016,0.026,0.03,0.038,0.025,0.027,0.05,0.024,0.012,0.052,0.03,0.03,0.034,0.048,0.032,0.031,0.037,0.03,0.036,0.04,0.031,0.045,0.039,0.021,0.025,0.053,0.038,0.045,0.025,0.049,1
2012-09-16,2012,2,Giants,Buccaneers,41,34,MetLife Stadium,73,1,39,outdoors,-8.0,43.5,1,0,0,1,0,1008,0.079,0.016,0.041,0.022,0.023,0.028,0.034,0.034,0.043,0.046,0.024,0.034,0.074,0.032,0.019,0.032,0.047,0.026,0.028,0.044,0.052,0.019,0.026,0.036,0.031,0.024,0.023,0.056,0.056,0.02,0.04,0.031,0.031,0.033,1
2012-09-16,2012,2,Colts,Vikings,23,20,Lucas Oil Stadium,0,0,0,retractable roof (open),-3.0,45.5,0,0,0,0,0,511,0.013,0.027,0.033,0.012,0.036,0.062,0.014,0.059,0.053,0.011,0.04,0.038,0.018,0.032,0.046,0.032,0.022,0.033,0.016,0.027,0.058,0.029,0.043,0.029,0.02,0.04,0.027,0.037,0.013,0.029,0.027,0.03,0.049,0.046,1
2012-09-16,2012,2,Rams,Redskins,31,28,The Dome at America's Center,0,0,0,dome,-3.5,42.5,1,0,1,0,0,717,0.015,0.031,0.019,0.017,0.035,0.042,0.014,0.051,0.041,0.02,0.025,0.038,0.029,0.028,0.038,0.025,0.03,0.032,0.044,0.037,0.019,0.028,0.027,0.029,0.025,0.033,0.057,0.032,0.014,0.02,0.013,0.036,0.038,0.028,1
2012-09-16,2012,2,Seahawks,Cowboys,27,7,CenturyLink Field,68,4,56,outdoors,-3.0,43.0,0,0,0,0,1,1669,0.054,0.024,0.023,0.047,0.036,0.016,0.047,0.023,0.022,0.036,0.015,0.034,0.05,0.022,0.048,0.022,0.021,0.031,0.037,0.044,0.019,0.021,0.032,0.029,0.033,0.031,0.041,0.024,0.023,0.028,0.031,0.043,0.034,0.023,1
2012-09-16,2012,2,Steelers,Jets,27,10,Heinz Field,71,2,36,outdoors,-4.5,43.0,0,0,0,0,0,313,0.039,0.015,0.051,0.023,0.009,0.027,0.032,0.018,0.028,0.027,0.035,0.041,0.014,0.02,0.029,0.032,0.025,0.019,0.038,0.016,0.024,0.033,0.037,0.021,0.033,0.028,0.02,0.025,0.018,0.023,0.047,0.027,0.018,0.023,1
2012-09-16,2012,2,Chargers,Titans,38,10,Qualcomm Stadium,85,8,37,outdoors,-6.0,43.5,1,0,0,2,0,1735,0.027,0.022,0.022,0.027,0.02,0.046,0.02,0.024,0.023,0.06,0.032,0.025,0.019,0.021,0.028,0.027,0.029,0.024,0.03,0.032,0.028,0.03,0.036,0.029,0.027,0.032,0.024,0.025,0.026,0.026,0.04,0.013,0.018,0.044,1
2012-09-16,2012,2,49ers,Lions,27,19,"Candlestick Park, San Francisco",62,15,62,outdoors,-7.0,46.0,0,0,0,0,0,2087,0.068,0.024,0.018,0.044,0.033,0.01,0.059,0.017,0.011,0.024,0.013,0.032,0.07,0.038,0.037,0.024,0.04,0.035,0.053,0.044,0.022,0.021,0.021,0.035,0.041,0.025,0.036,0.038,0.077,0.04,0.032,0.03,0.026,0.023,1
2012-09-17,2012,2,Falcons,Broncos,27,21,Georgia Dome,0,0,0,dome,-3.0,50.5,0,0,1,1,1,1217,0.04,0.041,0.059,0.045,0.022,0.059,0.03,0.047,0.044,0.019,0.023,0.036,0.049,0.021,0.025,0.024,0.032,0.053,0.012,0.026,0.037,0.027,0.04,0.03,0.028,0.03,0.029,0.022,0.038,0.037,0.046,0.029,0.024,0.032,1
