game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
05/10/2003,Kansas City Chiefs,Denver Broncos,24,23,13:00:00,Arrowhead Stadium ,00:03:12,13,22,24,133,0,31,176,1,15,29,129,2,1,21,39,292,1,0,0,0,0,0,129,292,262,468,1,1,4,1,2,1,7,47,7,59,3,13,5,15,0,0,0,1,00:25:54,00:34:06,Chiefs,outdoors,grass,"78,903","69 degrees, relative humidity 60%, wind 8 mph, wind chill 0",Kansas City Chiefs,-3.5,46.5,over
05/10/2003,New England Patriots,Tennessee Titans,38,30,13:02:00,Gillette Stadium ,00:03:31,21,23,27,161,3,27,70,2,17,31,219,1,0,23,45,360,0,1,3,26,2,19,193,341,354,411,1,0,2,0,0,1,9,55,8,66,6,12,6,15,0,1,1,1,00:28:05,00:31:55,Titans,outdoors,grass,"68,436","53 degrees, relative humidity 61%, wind 8 mph, wind chill 0",New England Patriots,-1,40.5,over
05/10/2003,Carolina Panthers,New Orleans Saints,19,13,13:02:00,Ericsson Stadium ,00:02:54,21,17,40,185,1,29,155,0,15,23,124,0,0,16,31,189,1,1,0,0,0,0,124,189,309,344,2,1,1,0,1,1,4,20,7,64,8,14,8,15,1,1,0,0,00:33:02,00:26:58,Saints,outdoors,grass,"72,496","71 degrees, relative humidity 43%, wind 9 mph, wind chill 0",Carolina Panthers,-7,37.5,under
05/10/2003,Green Bay Packers,Seattle Seahawks,35,13,13:02:00,Lambeau Field ,00:02:56,27,23,35,159,3,23,128,1,19,25,185,2,0,23,39,225,0,1,1,8,2,10,177,215,336,343,0,0,1,1,0,2,3,25,7,57,6,9,5,10,0,0,0,2,00:33:10,00:26:50,Packers,outdoors,grass,"70,365","48 degrees, relative humidity 49%, wind 5 mph, wind chill 0",Green Bay Packers,-1,45,over
05/10/2003,Dallas Cowboys,Arizona Cardinals,24,7,13:02:00,Texas Stadium ,00:02:53,18,9,36,97,0,18,32,0,20,31,277,2,1,14,28,121,1,2,1,9,3,2,268,119,365,151,1,0,0,0,1,2,7,64,5,36,6,16,3,12,1,2,0,1,00:36:28,00:23:32,Cardinals,outdoors,fieldturf,"63,601","70 degrees, relative humidity 90%, wind 8 mph, wind chill 0",Dallas Cowboys,-7.5,39.5,under
05/10/2003,Chicago Bears,Oakland Raiders,24,21,13:02:00,Soldier Field ,00:03:13,18,18,35,200,1,26,119,1,13,24,160,1,2,17,35,187,0,2,2,16,1,5,144,182,344,301,2,1,0,0,3,2,11,97,5,45,4,11,5,13,1,1,0,0,00:31:26,00:28:34,Raiders,outdoors,grass,"61,099","58 degrees, relative humidity 59%, wind 8 mph, wind chill 0",Oakland Raiders,-3.5,43.5,over
05/10/2003,Buffalo Bills,Cincinnati Bengals,22,16,13:02:00,Ralph Wilson Stadium ,00:03:23,17,18,27,80,1,27,67,1,19,35,211,1,0,26,44,225,0,1,4,34,1,13,177,212,257,279,3,0,3,1,0,2,6,49,7,49,3,15,6,16,1,2,0,0,00:29:23,00:34:30,Bengals,outdoors,astroplay,"72,615","51 degrees, relative humidity 49%, wind 15 mph, wind chill 0",Buffalo Bills,-7,40,under
05/10/2003,New York Giants,Miami Dolphins,10,23,13:03:00,Giants Stadium ,00:02:57,25,15,23,77,1,30,134,2,31,43,276,0,3,14,26,167,0,0,1,3,2,16,273,151,350,285,2,1,3,1,4,1,5,35,6,50,3,9,7,16,0,0,0,0,00:30:23,00:29:37,Giants,outdoors,fieldturf,"78,863","55 degrees, relative humidity 58%, wind 13 mph, wind chill 0",New York Giants,-1.5,38,under
05/10/2003,Atlanta Falcons,Minnesota Vikings,26,39,13:05:00,Georgia Dome ,00:03:06,21,16,17,104,1,38,166,2,28,41,352,2,2,14,24,239,2,1,2,16,2,6,336,233,440,399,4,1,1,0,3,1,7,56,8,58,3,10,4,14,0,0,0,1,00:26:32,00:33:28,Falcons,dome,fieldturf,"70,427",,Minnesota Vikings,-4.5,43.5,over
05/10/2003,Jacksonville Jaguars,San Diego Chargers,27,21,16:05:00,Alltel Stadium ,00:03:16,21,21,37,123,1,13,69,0,19,28,336,2,0,24,41,296,3,0,3,23,4,19,313,277,436,346,2,1,3,2,1,2,8,89,10,61,6,14,5,11,0,1,0,0,00:33:13,00:26:47,Jaguars,outdoors,grass,"48,954","84 degrees, relative humidity 47%, wind 5 mph, wind chill 0",Jacksonville Jaguars,-3,42.5,over
