game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2006-12-30,2006,17,Redskins,Giants,28,34,FedExField,48,7,65,outdoors,-2.0,43.0,1,1,0,2,2,198,0.023,0.03,0.019,0.023,0.033,0.035,0.042,0.048,0.022,0.025,0.026,0.028,0.023,0.028,0.037,0.021,0.033,0.035,0.057,0.041,0.034,0.022,0.028,0.026,0.035,0.05,0.033,0.019,0.031,0.03,0.031,0.031,0.028,0.03,0
2006-12-31,2006,17,Chiefs,Jaguars,35,30,Arrowhead Stadium,40,10,89,outdoors,-2.5,37.0,1,0,0,1,0,940,0.045,0.06,0.024,0.03,0.035,0.027,0.079,0.047,0.025,0.015,0.02,0.03,0.033,0.038,0.041,0.021,0.028,0.038,0.023,0.028,0.041,0.022,0.029,0.03,0.025,0.033,0.026,0.042,0.03,0.05,0.035,0.049,0.028,0.024,1
2006-12-31,2006,17,Titans,Patriots,23,40,Nissan Stadium,63,13,86,outdoors,-3.0,41.5,1,0,0,0,0,925,0.021,0.05,0.024,0.034,0.05,0.025,0.026,0.022,0.038,0.02,0.03,0.025,0.034,0.035,0.037,0.019,0.038,0.053,0.031,0.025,0.018,0.044,0.028,0.04,0.038,0.025,0.04,0.042,0.028,0.024,0.023,0.038,0.04,0.025,0
2006-12-31,2006,17,Jets,Raiders,23,3,MetLife Stadium,40,0,46,outdoors,-10.5,34.5,0,0,0,2,1,2550,0.017,0.011,0.035,0.035,0.033,0.024,0.008,0.007,0.061,0.046,0.038,0.044,0.03,0.022,0.031,0.051,0.03,0.012,0.015,0.047,0.047,0.017,0.035,0.032,0.025,0.037,0.036,0.028,0.033,0.03,0.024,0.02,0.036,0.044,1
2006-12-31,2006,17,Texans,Browns,14,6,Reliant Stadium,0,0,0,retractable roof (open),-6.0,37.5,0,0,0,0,0,1120,0.022,0.014,0.012,0.025,0.044,0.024,0.019,0.012,0.045,0.052,0.035,0.04,0.031,0.017,0.042,0.044,0.011,0.017,0.025,0.028,0.024,0.032,0.037,0.025,0.029,0.042,0.031,0.031,0.025,0.027,0.03,0.022,0.045,0.044,1
2006-12-31,2006,17,Cowboys,Lions,31,39,Texas Stadium,45,0,58,outdoors,-14.0,46.0,1,0,0,2,0,1143,0.036,0.014,0.04,0.025,0.014,0.019,0.03,0.008,0.027,0.06,0.034,0.031,0.035,0.021,0.044,0.048,0.028,0.018,0.044,0.022,0.032,0.031,0.03,0.026,0.033,0.032,0.029,0.059,0.028,0.012,0.042,0.013,0.026,0.04,0
2006-12-31,2006,17,Buccaneers,Seahawks,7,23,Raymond James Stadium,78,10,71,outdoors,-3.0,38.0,0,0,0,0,0,2523,0.014,0.032,0.034,0.019,0.033,0.037,0.028,0.031,0.025,0.025,0.041,0.034,0.024,0.038,0.025,0.037,0.025,0.027,0.029,0.03,0.013,0.042,0.031,0.025,0.02,0.037,0.029,0.024,0.028,0.045,0.027,0.034,0.033,0.037,0
2006-12-31,2006,17,Saints,Panthers,21,31,Mercedes-Benz Superdome,0,0,0,dome,-2.0,38.5,1,1,1,0,0,649,0.029,0.029,0.068,0.041,0.013,0.026,0.03,0.052,0.031,0.023,0.045,0.033,0.02,0.03,0.025,0.02,0.029,0.033,0.025,0.027,0.024,0.035,0.042,0.028,0.023,0.037,0.045,0.017,0.016,0.039,0.041,0.047,0.022,0.032,0
2006-12-31,2006,17,Bengals,Steelers,17,23,Paul Brown Stadium,54,8,91,outdoors,-6.0,44.5,0,1,0,0,0,257,0.037,0.052,0.033,0.034,0.022,0.025,0.023,0.059,0.018,0.018,0.021,0.036,0.039,0.036,0.033,0.019,0.026,0.033,0.024,0.03,0.041,0.059,0.024,0.026,0.028,0.041,0.017,0.032,0.047,0.035,0.026,0.046,0.03,0.024,0
2006-12-31,2006,17,Vikings,Rams,21,41,U.S. Bank Stadium,0,0,0,dome,-2.5,44.0,1,0,1,1,0,466,0.024,0.016,0.032,0.048,0.034,0.058,0.031,0.012,0.024,0.04,0.03,0.027,0.031,0.039,0.037,0.053,0.017,0.018,0.024,0.027,0.027,0.024,0.038,0.028,0.028,0.019,0.035,0.05,0.02,0.019,0.038,0.027,0.031,0.016,0
