game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2007-01-13,2006,19,Ravens,Colts,6,15,M&T Bank Stadium,63,4,62,outdoors,-4.0,41.0,0,0,0,1,0,509,0.046,0.064,0.035,0.056,0.017,0.01,0.029,0.031,0.019,0.039,0.027,0.017,0.033,0.042,0.015,0.014,0.047,0.051,0.053,0.031,0.024,0.028,0.04,0.037,0.019,0.039,0.036,0.013,0.046,0.045,0.044,0.034,0.016,0.028,0
2007-01-13,2006,19,Saints,Eagles,27,24,Mercedes-Benz Superdome,0,0,0,dome,-4.5,48.5,1,0,1,1,2,1087,0.025,0.03,0.067,0.042,0.014,0.018,0.03,0.029,0.03,0.033,0.043,0.031,0.019,0.033,0.026,0.031,0.028,0.042,0.028,0.05,0.024,0.014,0.042,0.025,0.024,0.037,0.041,0.019,0.016,0.041,0.039,0.024,0.021,0.037,1
2007-01-14,2006,19,Bears,Seahawks,27,24,Soldier Field,32,0,65,outdoors,-8.5,37.5,1,0,0,1,1,1734,0.041,0.033,0.022,0.02,0.037,0.035,0.025,0.032,0.018,0.025,0.031,0.032,0.036,0.037,0.018,0.036,0.036,0.028,0.015,0.025,0.041,0.043,0.026,0.029,0.032,0.036,0.037,0.022,0.033,0.045,0.028,0.036,0.032,0.036,1
2007-01-14,2006,19,Chargers,Patriots,21,24,Qualcomm Stadium,53,6,20,outdoors,-5.0,46.5,0,0,0,1,0,2562,0.06,0.051,0.014,0.034,0.028,0.024,0.053,0.023,0.008,0.02,0.019,0.028,0.029,0.037,0.016,0.019,0.046,0.055,0.04,0.031,0.035,0.044,0.03,0.04,0.042,0.024,0.021,0.047,0.041,0.026,0.038,0.039,0.019,0.026,0
