game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
01/11/2012,San Diego Chargers,Kansas City Chiefs,31,13,20:27:00,Qualcomm Stadium ,00:02:55,18,21,26,123,0,30,113,1,18,20,220,2,1,19,29,181,0,1,1,4,1,5,216,176,339,289,1,1,3,3,2,4,8,54,5,37,4,9,7,12,0,0,0,0,00:28:29,00:31:31,Chargers,outdoors,grass ,"55,831","63 degrees, relative humidity 74%, wind 12 mph, wind chill 0",San Diego Chargers,-7,41,over
04/11/2012,Houston Texans,Buffalo Bills,21,9,13:02:00,Reliant Stadium ,00:03:01,21,17,32,118,1,15,74,0,19,27,268,2,0,25,38,239,0,0,2,12,4,9,256,230,374,304,0,0,1,1,0,1,7,42,3,15,4,11,2,11,0,1,1,1,00:34:03,00:25:57,Texans,retractable roof (closed),grass ,"71,698",,Houston Texans,-11.5,48,under
04/11/2012,Cincinnati Bengals,Denver Broncos,23,31,13:02:00,Paul Brown Stadium ,00:03:08,22,20,25,91,1,26,68,0,26,42,299,1,1,27,35,291,3,2,5,24,0,0,275,291,366,359,0,0,0,0,1,2,8,83,5,29,5,14,9,14,1,1,0,0,00:29:23,00:30:37,Broncos (deferred),outdoors,fieldturf ,"63,623","48 degrees, relative humidity 59%, wind 1 mph, wind chill 0",Denver Broncos,-5.5,47.5,over
04/11/2012,Indianapolis Colts,Miami Dolphins,23,20,13:02:00,Lucas Oil Stadium ,00:03:19,27,20,26,97,0,18,84,1,30,48,433,2,0,22,38,290,1,0,1,14,2,9,419,281,516,365,2,0,1,0,0,0,11,91,8,79,13,19,4,11,0,0,0,1,00:34:54,00:25:06,Colts,retractable roof (closed),fieldturf ,"66,479",,Miami Dolphins,-2,43.5,under
04/11/2012,Green Bay Packers,Arizona Cardinals,31,17,13:02:00,Lambeau Field ,00:03:14,20,16,39,176,0,18,54,1,14,30,218,4,1,23,46,306,1,1,1,10,2,20,208,286,384,340,1,0,3,1,1,2,1,5,8,57,6,15,4,15,0,0,1,2,00:33:30,00:26:30,Packers (deferred),outdoors,grass ,"70,504","39 degrees, relative humidity 57%, wind 7 mph",Green Bay Packers,-10.5,43.5,over
04/11/2012,Cleveland Browns,Baltimore Ravens,15,25,13:03:00,Cleveland Browns Stadium ,00:03:02,17,18,27,116,0,37,137,2,20,37,176,0,2,15,24,153,1,0,1,2,1,8,174,145,290,282,1,0,0,0,2,0,4,31,9,82,5,16,5,14,0,1,1,1,00:28:28,00:31:32,Ravens (deferred),outdoors,grass ,"65,449","39 degrees, relative humidity 69%, wind 8 mph",Baltimore Ravens,-3.5,44,under
04/11/2012,Jacksonville Jaguars,Detroit Lions,14,31,13:04:00,EverBank Field ,00:02:47,19,26,20,64,0,34,149,4,27,38,220,2,2,22,33,285,0,0,1,5,1,0,215,285,279,434,0,0,0,0,2,0,3,40,5,42,6,11,8,12,1,1,0,0,00:24:30,00:35:30,Lions,outdoors,grass ,"63,050","81 degrees, relative humidity 0%, wind 10 mph, wind chill 0",Detroit Lions,-6,44,over
04/11/2012,Tennessee Titans,Chicago Bears,20,51,13:04:00,LP Field ,00:03:07,12,21,18,159,1,36,160,1,20,35,200,1,1,19,26,229,3,0,2,20,3,24,180,205,339,365,6,4,1,1,5,1,9,68,5,37,3,12,6,14,0,1,0,1,00:22:59,00:37:01,Titans,outdoors,grass ,"69,143","50 degrees, relative humidity 63%, wind 6 mph",Chicago Bears,-5,43.5,over
04/11/2012,Washington Redskins,Carolina Panthers,13,21,13:05:00,FedExField ,00:03:17,24,18,32,151,1,27,129,2,23,39,215,0,0,13,23,201,1,0,4,29,0,0,186,201,337,330,0,0,0,0,0,0,13,97,7,60,3,15,5,11,3,5,0,0,00:35:20,00:24:40,Redskins (deferred),outdoors,grass ,"79,767","50 degrees, relative humidity 44%, wind 3 mph",Washington Redskins,-3,48.5,under
04/11/2012,Oakland Raiders,Tampa Bay Buccaneers,32,42,16:05:00,O.co Coliseum ,00:03:32,25,23,11,22,0,32,278,4,40,62,418,4,3,18,30,247,2,0,2,16,1,10,402,237,424,515,2,0,2,1,3,1,9,80,14,116,5,14,5,12,1,2,0,1,00:31:56,00:28:04,Buccaneers (deferred),outdoors,grass ,"52,055","71 degrees, relative humidity 55%, wind 7 mph, wind chill 0",Oakland Raiders,-1,47.5,over
04/11/2012,Seattle Seahawks,Minnesota Vikings,30,20,16:06:00,CenturyLink Field ,00:03:00,28,16,45,195,1,27,243,2,17,25,198,3,0,11,22,63,0,1,1,8,4,19,190,44,385,287,1,0,1,1,0,2,4,49,6,33,4,12,3,10,3,3,0,0,00:36:00,00:24:00,Vikings,outdoors,fieldturf ,"67,584","60 degrees, relative humidity 89%, wind 5 mph, wind chill 0",Seattle Seahawks,-4,38.5,over
04/11/2012,New York Giants,Pittsburgh Steelers,20,24,16:26:00,MetLife Stadium ,00:03:03,13,22,22,68,1,35,158,1,10,24,125,0,1,21,30,216,2,1,2,11,4,25,114,191,182,349,1,0,2,1,1,2,7,40,6,119,2,10,6,13,0,0,1,2,00:24:45,00:35:15,Giants,outdoors,fieldturf,"80,991","44 degrees, relative humidity 58%, wind 5 mph",New York Giants,-3.5,47.5,under
04/11/2012,Atlanta Falcons,Dallas Cowboys,19,13,20:31:00,Georgia Dome ,00:02:54,21,18,26,123,1,18,65,0,24,34,342,0,0,25,35,321,1,0,3,12,1,9,330,312,453,377,1,0,0,0,0,0,2,15,7,50,7,14,3,10,0,0,0,0,00:32:43,00:27:17,Cowboys (deferred),dome,fieldturf ,"70,840",,Atlanta Falcons,-4.5,47.5,under
05/11/2012,New Orleans Saints,Philadelphia Eagles,28,13,20:40:00,Mercedes-Benz Superdome ,00:03:00,20,24,25,140,1,29,221,0,21,27,239,2,0,22,41,272,1,1,2,8,7,46,231,226,371,447,3,2,2,1,2,2,4,35,7,58,5,9,6,16,0,0,1,2,00:26:30,00:33:30,Eagles,dome,sportturf,"73,099",,New Orleans Saints,-3,52,under
