game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
03/10/2019,Seattle Seahawks,Los Angeles Rams,30,29,20:20:00,CenturyLink Field ,00:03:27,25,24,43,167,0,18,82,2,17,23,268,4,0,29,49,395,1,1,1,6,0,0,262,395,429,477,1,1,1,1,1,2,5,45,6,45,3,10,3,11,1,1,0,0,00:35:18,00:24:42,Rams (deferred),outdoors,fieldturf,"68,988","57 degrees, relative humidity 56%, wind 7 mph",Seattle Seahawks,-1.5,49,over
06/10/2019,Oakland Raiders,Chicago Bears,24,21,13:00:00,Tottenham Stadium ,00:03:08,25,15,39,169,3,17,42,1,25,32,229,0,0,22,30,231,2,2,0,0,4,37,229,194,398,236,2,2,0,0,2,2,6,69,10,75,6,12,4,11,1,1,0,0,00:34:43,00:25:17,Bears (deferred),outdoors,grass,"60,463","59 degrees, relative humidity 60%, wind 15 mph",Chicago Bears,-6.5,39.5,over
06/10/2019,Houston Texans,Atlanta Falcons,53,32,13:00:00,NRG Stadium ,00:03:13,31,22,34,166,1,20,57,1,28,33,426,5,0,32,46,330,3,1,0,0,2,14,426,316,592,373,5,1,1,0,1,1,9,89,7,63,10,13,9,16,0,0,1,1,00:31:00,00:29:00,Texans (deferred),retractable roof (closed),grass,"71,787",,Houston Texans,-4,49,over
06/10/2019,Cincinnati Bengals,Arizona Cardinals,23,26,13:00:00,Paul Brown Stadium ,00:03:03,21,26,23,108,0,38,266,2,27,38,262,2,0,20,32,253,0,0,1,0,1,5,262,248,370,514,1,0,0,0,0,0,7,60,12,96,5,12,6,13,0,1,1,1,00:28:57,00:31:03,Bengals (deferred),outdoors,grass,"46,012","76 degrees, relative humidity 68%, wind 6 mph",Cincinnati Bengals,-3,45,over
06/10/2019,Carolina Panthers,Jacksonville Jaguars,34,27,13:00:00,Bank of America Stadium ,00:03:28,22,28,27,285,3,31,149,1,17,31,181,1,0,26,44,374,2,0,3,21,2,16,160,358,445,507,1,0,3,3,0,3,8,70,9,84,4,12,6,13,0,1,0,0,00:27:36,00:32:24,Jaguars (deferred),outdoors,grass,"72,762","72 degrees, relative humidity 59%, wind 4 mph",Carolina Panthers,-3,41,over
06/10/2019,New York Giants,Minnesota Vikings,10,28,13:00:00,MetLife Stadium ,00:03:03,18,22,20,64,0,34,211,0,21,38,182,1,1,22,27,306,2,0,4,35,3,27,147,279,211,490,0,0,3,1,1,1,5,45,12,112,8,16,5,11,0,3,1,1,00:27:20,00:32:40,Giants (deferred),outdoors,fieldturf ,"75,041","66 degrees, relative humidity 73%, wind 10 mph",Minnesota Vikings,-5.5,44,under
06/10/2019,New Orleans Saints,Tampa Bay Buccaneers,31,24,13:00:00,Mercedes-Benz Superdome ,00:03:07,25,19,31,112,0,22,94,1,28,36,345,4,1,15,27,204,2,0,0,0,6,46,345,158,457,252,1,0,1,0,1,0,6,40,4,30,8,15,3,11,1,2,1,1,00:33:27,00:26:33,Buccaneers,dome,astroturf,"73,029",,New Orleans Saints,-3,46,over
06/10/2019,Pittsburgh Steelers,Baltimore Ravens,23,26,13:00:00,Heinz Field ,00:03:23,18,22,19,77,1,40,138,1,21,31,203,1,1,19,28,161,1,3,1,11,5,22,192,139,269,277,2,1,1,0,2,3,11,76,11,92,3,9,6,15,0,0,1,1,00:25:34,00:39:00,Ravens (deferred),outdoors,grass,"64,037","70 degrees, relative humidity 74%, wind 7 mph",Baltimore Ravens,-3.5,44,over
06/10/2019,Washington Redskins,New England Patriots,7,33,13:00:00,FedExField ,00:03:08,11,23,20,145,1,27,130,1,18,27,122,0,1,28,43,348,3,1,6,44,4,36,78,312,223,442,3,1,0,0,2,1,6,72,7,55,1,11,5,15,0,0,0,1,00:28:07,00:31:53,Redskins,outdoors,grass,"76,483","70 degrees, relative humidity 66%, wind 8 mph",New England Patriots,-15.5,42,under
06/10/2019,Tennessee Titans,Buffalo Bills,7,14,13:00:00,Nissan Stadium ,00:02:54,14,18,27,102,1,27,109,0,13,22,183,0,0,23,32,219,2,1,5,33,4,15,150,204,252,313,1,0,0,0,0,1,8,60,11,78,4,14,4,13,0,0,1,2,00:28:48,00:31:12,Bills (deferred),outdoors,grass,"66,910","77 degrees, relative humidity 71%, wind 13 mph",Tennessee Titans,-3.5,39.5,under
06/10/2019,Philadelphia Eagles,New York Jets,31,6,13:00:00,Lincoln Financial Field ,00:03:01,17,9,29,84,1,19,67,1,17,29,189,1,0,15,26,120,0,2,1,8,10,59,181,61,265,128,3,1,2,1,1,3,9,76,9,52,5,13,3,14,0,2,0,1,00:30:52,00:29:08,Eagles (deferred),outdoors,grass,"69,796","68 degrees, relative humidity 68%, wind 10 mph",Philadelphia Eagles,-14,43,under
06/10/2019,Los Angeles Chargers,Denver Broncos,13,20,16:05:00,StubHub Center ,00:03:03,19,15,16,35,0,32,191,1,32,48,211,0,2,14,20,182,1,1,0,0,3,23,211,159,246,350,1,1,3,1,3,2,4,43,12,122,4,13,3,11,0,1,0,0,00:30:24,00:29:36,Chargers (deferred),outdoors,grass,"25,357","85 degrees, relative humidity 35%, wind 12 mph",Los Angeles Chargers,-4,46,under
06/10/2019,Dallas Cowboys,Green Bay Packers,24,34,16:25:00,AT&T Stadium ,00:03:31,32,24,21,122,1,29,120,4,27,44,463,2,3,22,34,238,0,0,3,22,2,23,441,215,563,335,1,0,0,0,3,0,11,124,9,78,2,8,3,12,0,0,0,0,00:23:17,00:36:43,Cowboys (deferred),retractable roof (closed),fieldturf,"93,024",,Dallas Cowboys,-3.5,46.5,over
06/10/2019,Kansas City Chiefs,Indianapolis Colts,13,19,20:20:00,Arrowhead Stadium ,00:03:15,18,25,14,36,0,45,180,1,22,39,321,1,0,18,29,151,0,1,4,33,0,0,288,151,324,331,1,1,0,0,1,1,11,125,7,50,4,12,5,14,1,2,2,2,00:22:45,00:37:15,Colts (deferred),outdoors,astroturf,"73,352","59 degrees, relative humidity 75%, wind 3 mph",Kansas City Chiefs,-10.5,55.5,under
07/10/2019,San Francisco 49ers,Cleveland Browns,31,3,20:15:00,Levi's Stadium ,00:02:57,22,9,40,275,2,18,102,0,20,29,181,2,0,9,24,120,0,2,2,10,4,42,171,78,446,180,1,0,3,2,0,4,4,34,7,55,6,16,1,11,1,1,0,0,00:37:43,00:22:17,Browns,outdoors,grass,"70,585","87 degrees, relative humidity 36%, wind 8 mph",San Francisco 49ers,-5,47.5,under
