game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,fav_team,handicap,points_line,points_line_result,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession
2006-10-01,2006,4,Chiefs,49ers,41,0,Arrowhead Stadium,82,15,40,outdoors,Kansas City Chiefs,-7.0,39.5,1,23,10,40,125,2,22,89,0,18,23,208,2,0,13,25,92,0,2,0,0,4,16,208,76,333,165,0,0,3,2,0,4,3,30,6,73,8,15,3,13,0,0,0,0,2115,1485
2006-10-01,2006,4,Bills,Vikings,17,12,Ralph Wilson Stadium,58,11,77,outdoors,Buffalo Bills,-1.0,34.5,0,20,14,33,95,1,16,63,0,23,32,224,1,0,25,44,267,1,2,3,21,0,0,203,267,298,330,1,0,2,0,0,2,15,104,12,78,5,14,2,13,0,0,2,2,2157,1443
2006-10-01,2006,4,Ravens,Chargers,16,13,M&T Bank Stadium,68,7,59,outdoors,San Diego Chargers,-1.0,33.5,0,14,13,21,56,0,40,150,0,17,30,158,2,2,13,23,145,1,1,2,8,1,11,150,134,206,284,2,1,4,0,3,1,4,30,10,78,4,11,2,13,0,0,1,3,1578,2022
2006-10-01,2006,4,Texans,Dolphins,17,15,Reliant Stadium,0,0,0,retractable roof (closed),Miami Dolphins,-4.0,40.0,0,19,15,33,65,1,14,70,0,22,29,230,1,1,23,39,249,1,0,5,19,5,30,211,219,276,289,3,1,0,0,2,0,2,15,5,35,9,16,3,12,0,1,1,1,2035,1565
2006-10-01,2006,4,Panthers,Saints,21,18,Bank of America Stadium,82,6,40,outdoors,Carolina Panthers,-7.5,41.0,0,20,22,29,167,1,23,63,1,19,29,169,2,0,28,38,349,1,0,1,12,1,5,157,344,324,407,0,0,2,1,0,1,7,48,5,38,4,10,4,11,0,0,0,0,1821,1779
2006-10-01,2006,4,Jets,Colts,28,31,MetLife Stadium,62,2,80,outdoors,Indianapolis Colts,-8.0,46.0,1,23,26,37,135,2,36,160,3,17,23,207,1,1,21,30,217,1,0,3,21,2,25,186,192,321,352,4,2,0,0,3,0,5,47,10,64,7,13,7,12,1,2,0,0,1917,1683
2006-10-01,2006,4,Falcons,Cardinals,32,10,Georgia Dome,0,0,0,dome,Atlanta Falcons,-7.5,42.0,0,19,14,40,262,1,24,26,0,13,22,153,0,1,17,29,182,0,2,2,10,4,21,143,161,405,187,0,0,3,2,1,4,5,40,4,19,4,14,4,12,1,1,1,1,1887,1713
2006-10-01,2006,4,Titans,Cowboys,14,45,Nissan Stadium,75,0,48,outdoors,Dallas Cowboys,-9.5,37.0,1,16,23,27,78,0,41,217,3,14,29,155,1,2,13,20,179,2,1,2,4,0,0,151,179,229,396,4,1,0,0,3,1,5,55,5,61,6,12,5,10,0,1,1,1,1646,1954
2006-10-01,2006,4,Rams,Lions,41,34,The Dome at America's Center,0,0,0,dome,St. Louis Rams,-5.0,42.5,1,23,21,27,106,1,21,93,2,26,42,328,3,0,29,43,280,2,2,1,7,2,3,321,277,427,370,0,0,1,1,0,3,8,66,4,70,4,13,5,12,0,0,0,1,1806,1794
2006-10-01,2006,4,Raiders,Browns,21,24,Oakland Coliseum,63,0,0,outdoors,Cleveland Browns,-2.5,33.5,1,14,21,24,194,1,35,104,0,9,24,68,1,1,22,32,192,3,2,4,22,2,13,46,179,240,283,0,0,1,1,1,3,6,47,4,37,4,12,8,15,0,1,2,2,1374,2226
2006-10-01,2006,4,Redskins,Jaguars,36,30,FedExField,72,3,52,outdoors,Jacksonville Jaguars,-3.0,34.0,1,22,12,40,152,1,16,32,0,18,30,329,3,1,20,34,290,3,1,0,0,4,15,329,275,481,307,1,1,1,1,2,2,4,40,4,35,7,14,2,13,0,0,2,2,2192,1517
2006-10-01,2006,4,Bengals,Patriots,13,38,Paul Brown Stadium,75,9,37,outdoors,Cincinnati Bengals,-6.0,46.0,1,17,26,17,71,1,41,236,3,20,35,245,0,0,15,26,188,2,1,4,37,0,0,208,188,279,424,2,2,0,0,2,1,9,74,7,61,2,11,6,13,0,0,1,1,1564,2036
2006-10-01,2006,4,Bears,Seahawks,37,6,Soldier Field,69,5,45,outdoors,Chicago Bears,-3.5,37.0,1,21,14,38,143,2,19,77,0,17,31,232,2,0,17,37,202,0,2,1,13,5,49,219,153,362,230,3,0,0,0,0,2,5,60,7,59,6,15,4,16,1,1,0,0,2132,1468
2006-10-02,2006,4,Eagles,Packers,31,9,Lincoln Financial Field,59,2,72,outdoors,Philadelphia Eagles,-11.5,49.5,0,23,20,27,131,2,28,99,0,17,32,299,2,0,24,47,219,0,2,4,32,0,0,267,219,398,318,3,2,2,1,2,3,5,53,7,62,4,11,4,14,0,1,0,1,1637,1963
