game_date,year,week,home_team_alias,away_team_alias,home_score,away_score,stadium,degrees,wind,humidity,roof,handicap,points_line,points_line_result,is_divisional_game,is_dome_game,home_previous_game,away_previous_game,away_distance_travelled,home_score_margin_rank,away_score_margin_rank,home_pass_yards_margin_rank,away_pass_yards_margin_rank,home_pass_yards_margin_reverse_rank,away_pass_yards_margin_reverse_rank,home_rush_yards_margin_rank,away_rush_yards_margin_rank,home_rush_yards_margin_reverse_rank,away_rush_yards_margin_reverse_rank,home_turnovers_margin_rank,away_turnovers_margin_rank,home_turnovers_margin_reverse_rank,away_turnovers_margin_reverse_rank,home_sacks_allowed_margin_rank,away_sacks_allowed_margin_rank,home_sacks_allowed_margin_reverse_rank,away_sacks_allowed_margin_reverse_rank,home_penallity_yards_margin_rank,away_penallity_yards_margin_rank,home_penallity_yards_margin_reverse_rank,away_penallity_yards_margin_reverse_rank,home_third_downs_converted_margin_rank,away_third_downs_converted_margin_rank,home_third_downs_converted_margin_reverse_rank,away_third_downs_converted_margin_reverse_rank,home_fourth_downs_converted_margin_rank,away_fourth_downs_converted_margin_rank,home_fourth_downs_converted_margin_reverse_rank,away_fourth_downs_converted_margin_reverse_rank,home_time_possession_margin_rank,away_time_possession_margin_rank,home_time_possession_margin_reverse_rank,away_time_possession_margin_reverse_rank,home_team_win
2010-12-02,2010,13,Eagles,Texans,34,24,Lincoln Financial Field,36,5,55,outdoors,-8.0,49.5,1,0,0,2,2,1343,0.033,0.023,0.064,0.026,0.02,0.017,0.035,0.035,0.026,0.021,0.022,0.022,0.052,0.02,0.031,0.027,0.031,0.033,0.051,0.017,0.021,0.037,0.021,0.02,0.027,0.028,0.033,0.024,0.037,0.025,0.024,0.023,0.016,0.029,1
2010-12-05,2010,13,Dolphins,Browns,10,13,Sun Life Stadium,76,10,52,outdoors,-6.0,43.5,0,0,0,0,0,1078,0.022,0.04,0.022,0.014,0.026,0.055,0.029,0.046,0.018,0.034,0.033,0.034,0.017,0.029,0.026,0.045,0.043,0.031,0.02,0.02,0.025,0.03,0.046,0.043,0.023,0.031,0.024,0.023,0.04,0.041,0.046,0.017,0.022,0.032,0
2010-12-05,2010,13,Giants,Redskins,31,7,MetLife Stadium,33,17,51,outdoors,-7.5,43.0,0,1,0,0,0,198,0.03,0.015,0.04,0.032,0.019,0.021,0.047,0.013,0.028,0.04,0.036,0.028,0.026,0.028,0.021,0.032,0.038,0.015,0.027,0.019,0.028,0.027,0.028,0.028,0.029,0.03,0.02,0.033,0.03,0.021,0.057,0.015,0.024,0.033,1
2010-12-05,2010,13,Packers,49ers,34,16,Lambeau Field,26,16,60,outdoors,-9.0,41.0,1,0,0,0,2,1833,0.06,0.016,0.052,0.02,0.019,0.048,0.029,0.018,0.033,0.035,0.02,0.03,0.052,0.027,0.037,0.048,0.037,0.033,0.045,0.038,0.035,0.034,0.027,0.027,0.025,0.039,0.02,0.049,0.048,0.031,0.057,0.014,0.02,0.036,1
2010-12-05,2010,13,Bengals,Saints,30,34,Paul Brown Stadium,32,12,68,outdoors,-7.0,45.5,1,0,0,1,1,706,0.033,0.055,0.034,0.039,0.026,0.021,0.027,0.022,0.015,0.035,0.031,0.031,0.032,0.041,0.029,0.017,0.022,0.033,0.029,0.04,0.028,0.028,0.049,0.042,0.018,0.032,0.025,0.02,0.026,0.039,0.038,0.051,0.015,0.016,0
2010-12-05,2010,13,Lions,Bears,20,24,Ford Field,0,0,0,dome,-5.5,43.5,1,1,1,1,0,237,0.012,0.031,0.046,0.027,0.041,0.03,0.019,0.029,0.039,0.043,0.028,0.033,0.025,0.036,0.023,0.046,0.02,0.024,0.042,0.048,0.031,0.03,0.053,0.039,0.016,0.04,0.037,0.028,0.02,0.031,0.03,0.031,0.025,0.037,0
2010-12-05,2010,13,Chiefs,Broncos,10,6,Arrowhead Stadium,26,8,55,outdoors,-8.0,48.5,0,1,0,0,0,564,0.022,0.022,0.026,0.049,0.043,0.021,0.041,0.028,0.04,0.053,0.018,0.036,0.023,0.026,0.039,0.043,0.026,0.029,0.029,0.026,0.044,0.024,0.028,0.023,0.046,0.029,0.057,0.032,0.039,0.028,0.024,0.019,0.044,0.036,1
2010-12-05,2010,13,Titans,Jaguars,6,17,Nissan Stadium,35,11,70,outdoors,-3.0,43.5,0,1,0,0,0,498,0.026,0.019,0.019,0.015,0.044,0.027,0.05,0.047,0.019,0.03,0.045,0.05,0.029,0.025,0.015,0.044,0.046,0.024,0.028,0.021,0.024,0.032,0.014,0.025,0.043,0.023,0.023,0.028,0.033,0.022,0.016,0.031,0.056,0.048,0
2010-12-05,2010,13,Vikings,Bills,38,14,U.S. Bank Stadium,0,0,0,dome,-5.0,44.0,1,0,1,0,0,736,0.039,0.018,0.039,0.023,0.027,0.034,0.036,0.014,0.022,0.034,0.035,0.034,0.024,0.022,0.029,0.026,0.034,0.024,0.038,0.022,0.035,0.03,0.028,0.02,0.026,0.043,0.022,0.033,0.02,0.026,0.047,0.017,0.021,0.038,1
2010-12-05,2010,13,Chargers,Raiders,13,28,Qualcomm Stadium,67,5,39,outdoors,-13.0,44.5,0,1,0,0,0,448,0.04,0.026,0.049,0.024,0.009,0.03,0.029,0.028,0.026,0.04,0.036,0.042,0.029,0.024,0.03,0.04,0.039,0.032,0.025,0.038,0.032,0.033,0.022,0.024,0.042,0.026,0.027,0.035,0.055,0.014,0.029,0.027,0.019,0.029,0
