game_date,home_team,away_team,home_score,away_score,game_time,stadium,duration,home_first_downs,away_first_downs,home_num_rushes,home_rush_yards,home_rush_tds,away_num_rushes,away_rush_yards,away_rush_tds,home_pass_comp,home_pass_att,home_pass_yards,home_pass_tds,home_pass_ints,away_pass_comp,away_pass_att,away_pass_yards,away_pass_tds,away_pass_ints,home_sacks_allowed,home_sacks_yards_allowed,away_sacks_allowed,away_sacks_yards_allowed,home_net_pass_yards,away_net_pass_yards,home_total_yards,away_total_yards,home_fumbles,home_fumbles_lost,away_fumbles,away_fumbles_lost,home_turnovers,away_turnovers,home_num_penallity,home_penallity_yards,away_num_penallity,away_penallity_yards,home_third_downs,home_third_downs_converted,away_third_downs,away_third_downs_converted,home_fourth_downs,home_fourth_downs_converted,away_fourth_downs,away_fourth_downs_converted,home_time_possession,away_time_possession,won_toss,roof,surface,attendance,weather,fav_team,handicap,points_line,points_line_result
22/09/2016,New England Patriots,Houston Texans,27,0,20:26:00,Gillette Stadium ,00:03:02,15,19,39,185,3,27,109,0,11,19,103,0,0,24,41,196,0,1,1,6,2,21,97,175,282,284,1,0,2,2,0,3,3,15,6,43,4,14,6,15,0,0,0,3,00:28:38,00:31:22,Patriots (deferred),outdoors,fieldturf ,"66,829","68 degrees, relative humidity 60%, wind 4 mph, wind chill 0",Pi,k,38.5,under
25/09/2016,Cincinnati Bengals,Denver Broncos,17,29,13:02:00,Paul Brown Stadium ,00:03:05,20,21,29,143,2,23,52,0,21,31,206,0,1,23,35,312,4,0,4,17,2,9,189,303,332,355,1,1,1,1,2,1,9,69,5,41,5,12,6,12,0,1,0,0,00:32:06,00:27:54,Bengals (deferred),outdoors,fieldturf ,"63,850","81 degrees, relative humidity 53%, wind 3 mph, wind chill 0",Cincinnati Bengals,-3.5,42,over
25/09/2016,Tennessee Titans,Oakland Raiders,10,17,13:02:00,Nissan Stadium ,00:03:03,19,17,29,181,1,25,123,1,17,33,214,0,2,21,35,249,1,1,1,2,1,4,212,245,393,368,2,1,0,0,3,1,8,70,8,58,2,12,5,13,0,1,0,0,00:30:57,00:29:03,Raiders (deferred),outdoors,grass ,"62,370","89 degrees, relative humidity 49%, wind 2 mph",Oakland Raiders,-1.5,47,under
25/09/2016,Buffalo Bills,Arizona Cardinals,33,18,13:02:00,New Era Field ,00:03:18,16,25,32,208,3,22,88,2,14,25,119,0,1,26,50,287,0,4,4,30,5,27,89,260,297,348,3,0,3,1,1,5,9,75,8,50,4,13,5,15,0,0,0,1,00:26:00,00:34:00,Bills,outdoors,a_turf,"68,647","64 degrees, relative humidity 44%, wind 8 mph, wind chill 0",Arizona Cardinals,-5,48,over
25/09/2016,New York Giants,Washington Redskins,27,29,13:02:00,MetLife Stadium ,00:03:26,28,20,21,120,2,30,90,0,25,38,350,1,2,22,36,327,2,0,2,13,2,14,337,313,457,403,3,1,3,1,3,1,11,128,8,70,4,9,7,16,0,0,1,1,00:26:34,00:33:26,Redskins (deferred),outdoors,fieldturf ,"78,368","67 degrees, relative humidity 37%, wind 2 mph, wind chill 0",New York Giants,-3.5,47,over
25/09/2016,Jacksonville Jaguars,Baltimore Ravens,17,19,13:02:00,EverBank Field ,00:03:07,14,18,21,48,0,22,84,1,24,38,194,2,3,29,40,214,0,2,4,26,2,15,168,199,216,283,0,0,2,1,3,3,7,75,8,58,6,16,3,13,0,0,1,1,00:28:54,00:31:06,Ravens (deferred),outdoors,grass ,"60,127","88 degrees, relative humidity 0%, wind 8 mph, wind chill 0",Baltimore Ravens,-2.5,45,under
25/09/2016,Carolina Panthers,Minnesota Vikings,10,22,13:02:00,Bank of America Stadium ,00:03:05,18,13,28,105,1,24,58,0,22,36,265,0,3,18,28,171,1,0,8,64,2,18,201,153,306,211,0,0,1,0,3,0,10,65,6,42,6,16,3,12,0,2,0,0,00:34:52,00:25:08,Vikings (deferred),outdoors,grass ,"73,813","80 degrees, relative humidity 63%, no wind, wind chill 0",Carolina Panthers,-6,43,under
25/09/2016,Green Bay Packers,Detroit Lions,34,27,13:02:00,Lambeau Field ,00:02:54,17,22,24,123,0,23,50,0,15,24,205,4,0,28,41,385,3,1,2,4,3,17,201,368,324,418,0,0,0,0,0,1,4,45,4,86,5,10,8,14,0,0,1,1,00:24:53,00:35:07,Lions (deferred),outdoors,grass ,"78,411","72 degrees, relative humidity 84%, wind 17 mph, wind chill 0",Green Bay Packers,-6,47.5,over
25/09/2016,Miami Dolphins,Cleveland Browns,30,24,13:02:00,Hard Rock Stadium ,00:03:31,23,21,25,115,1,32,169,1,25,39,319,3,2,24,38,279,0,0,1,8,4,18,311,261,426,430,1,1,3,1,3,1,8,67,13,91,2,10,4,15,0,0,0,0,00:29:12,00:37:22,Browns (deferred),outdoors,grass ,"65,176","86 degrees, relative humidity 65%, wind 16 mph, wind chill 0",Miami Dolphins,-10,42,over
25/09/2016,Seattle Seahawks,San Francisco 49ers,37,18,16:05:00,CenturyLink Field ,00:02:59,18,12,31,127,2,31,135,2,22,32,308,2,1,14,25,119,0,1,2,17,0,0,291,119,418,254,1,1,1,0,2,1,6,50,4,35,9,14,4,15,0,0,1,1,00:35:57,00:24:03,49ers (deferred),outdoors,fieldturf ,"69,010","66 degrees, relative humidity 63%, wind 6 mph, wind chill 0",Seattle Seahawks,-10.5,42,over
